,Target, Observation Hours 
17,Sp0008+4918,38.8
18,Sp0025+5422,66.71
3,Sp0036+1821,59.16
4,Sp0219+5919,2.24
2,Sp0227+5034,9.1
13,Sp0419+4233,10.59
11,Sp0510+2714,17.07
15,Sp0522+5754,12.2
12,Sp0602+3910,16.75
1,Sp0740-1724,2.96
8,Sp0804+6153,4.9
20,Sp0829+2646,16.05
9,Sp0853-0329,17.54
0,Sp1428+3310,149.54
21,Sp1731+2721,10.04
23,Sp1826+3014,23.62
6,Sp1835+3259,4.23
5,Sp1837+2030,34.8
19,Sp1839+2952,2.78
14,Sp2044+1517,46.61
22,Sp2127+5553,76.36
7,Sp2138+5257,65.79
16,Sp2225+6421,17.55
10,Sp2347+2702,5.01
