Target, Observation Hours ,telescope
Sp0008+4918,43.1,Saint-Ex
Sp0019+5213,61.5,Saint-Ex
Sp0024-0158,4.8,Saint-Ex
Sp0036+1821,51.7,Saint-Ex
Sp0109+2949,63.7,Saint-Ex
Sp0151+6423,56.9,Saint-Ex
Sp0253+2713,73.0,Saint-Ex
Sp0321+3847,79.3,Saint-Ex
Sp0401+2849,28.6,Saint-Ex
Sp0419+4233,64.1,Saint-Ex
Sp0522+5754,14.7,Saint-Ex
Sp0539+4038,5.9,Saint-Ex
Sp0602+3910,9.7,Saint-Ex
Sp0625+4710,28.6,Saint-Ex
Sp0632+8305,11.8,Saint-Ex
Sp0652+4710,52.7,Saint-Ex
Sp0804+6153,52.6,Saint-Ex
Sp0823+6125,52.0,Saint-Ex
Sp0853-0329,1.7,Saint-Ex
Sp1048+0111,22.4,Saint-Ex
Sp1430+5943,43.3,Saint-Ex
Sp1731+2721,52.2,Saint-Ex
Sp1826+3014,59.3,Saint-Ex
Sp1835+3259,64.3,Saint-Ex
Sp1843+4040,60.7,Saint-Ex
Sp2126+2531,59.9,Saint-Ex
Sp2127+5553,55.8,Saint-Ex
Sp2225+6421,33.9,Saint-Ex
Sp2327-1741,10.0,Saint-Ex
