Target, Observation Hours ,telescope
Sp0006-0732,13.0,TRAPPIST
Sp0011+5908,44.15,TRAPPIST
Sp0024-2708,14.62,TRAPPIST
Sp0027+2219,64.0,TRAPPIST
Sp0139-1757,178.0,TRAPPIST
Sp0202+1020,43.25,TRAPPIST
Sp0212+1032,26.88,TRAPPIST
Sp0216+1335,42.0,TRAPPIST
Sp0219+5912,61.0,TRAPPIST
Sp0230+1648,62.32,TRAPPIST
Sp0246+1625,60.5,TRAPPIST
Sp0250-0808,41.08,TRAPPIST
Sp0253+1652,121.83,TRAPPIST
Sp0330+5413,81.5,TRAPPIST
Sp0353-3441,25.0,TRAPPIST
Sp0413-2704,19.2,TRAPPIST
Sp0419+4233,14.83,TRAPPIST
Sp0435+2254,36.25,TRAPPIST
Sp0440-0530,21.0,TRAPPIST
Sp0515+5911,51.0,TRAPPIST
Sp0516+5640,32.25,TRAPPIST
Sp0539+4038,26.5,TRAPPIST
Sp0557+1708,34.25,TRAPPIST
Sp0603-8127,21.08,TRAPPIST
Sp0610-3346,27.0,TRAPPIST
Sp0635-0403,3.0,TRAPPIST
Sp0711+4329,1.0,TRAPPIST
Sp0714+3702,48.75,TRAPPIST
Sp0731+0249,112.7,TRAPPIST
Sp0740-1724,15.84,TRAPPIST
Sp0746+2000,7.5,TRAPPIST
Sp0829+2646,100.0,TRAPPIST
Sp0900+2150,51.22,TRAPPIST
Sp0931-1717,11.0,TRAPPIST
Sp1016+2751,48.0,TRAPPIST
Sp1042-2416,64.5,TRAPPIST
Sp1043-0912,42.0,TRAPPIST
Sp1048-1120,31.17,TRAPPIST
Sp1048-3956,106.4,TRAPPIST
Sp1056+0700,29.0,TRAPPIST
Sp1105+4331,86.75,TRAPPIST
Sp1119+4641,68.0,TRAPPIST
Sp1122+3755,13.33,TRAPPIST
Sp1223-0858,8.16,TRAPPIST
Sp1229+0752,5.0,TRAPPIST
Sp1259-4336,129.5,TRAPPIST
Sp1346-3149,3.5,TRAPPIST
Sp1356+4342,70.8,TRAPPIST
Sp1407-0800,31.0,TRAPPIST
Sp1428+3310,32.0,TRAPPIST
Sp1430+5943,179.5,TRAPPIST
Sp1510+2818,3.33,TRAPPIST
Sp1521+5053,84.0,TRAPPIST
Sp1524+2925,97.0,TRAPPIST
Sp1530+0926,114.75,TRAPPIST
Sp1606+4054,18.4,TRAPPIST
Sp1716-0315,8.0,TRAPPIST
Sp1718-4131,69.55,TRAPPIST
Sp1735+2634,42.5,TRAPPIST
Sp1757+7042,63.75,TRAPPIST
Sp1805-1422,96.25,TRAPPIST
Sp1826+3014,48.0,TRAPPIST
Sp1835+3259,45.0,TRAPPIST
Sp1839+2952,155.6,TRAPPIST
Sp1841-4347,68.05,TRAPPIST
Sp1843+4040,145.5,TRAPPIST
Sp1845-6357,166.66,TRAPPIST
Sp1916+0509,78.5,TRAPPIST
Sp1953+4424,27.8,TRAPPIST
Sp2000+3057,81.6,TRAPPIST
Sp2330-4737,39.6,TRAPPIST
Sp2335-0223,3.0,TRAPPIST
Sp0939+2935,15.0,TRAPPIST
Sp1037+3011,8.0,TRAPPIST
Sp1423+5146,33.0,TRAPPIST
Sp1444+3002,20.16,TRAPPIST
