Sp_ID 2MASS_ID Gaia_ID Filter texp_spc nb_hours_surved nb_hours_threshold RA DEC G I J H K Dis e_Dis M e_M R e_R T_eff e_Teff SpT e_Spt SNR_T1b SNR_JWST_HZ_tr SNR_JWST_HZ_occ telescope prog Note
Sp0000-1245 00002867-1245153 2421137424841635840 I+z 0 0.0 100 0.1193751 -12.754211199999999 17.77 15.26 13.2 12.45 11.97 31.2782 0.2861 0.1 0.02 0.11 0.01 2743.0 105.0 6.6 1.0 9.37 3.83 1.39 [] 3 0
Sp0001+1535 00011217+1535355 2772182900286956160 I+z 0 0.0 100 0.3007107 15.5932068 20.8 18.98 15.52 14.51 13.71 31.6163 1.8013 0.07 0.01 0.09 0.01 1891.0 116.0 12.5 1.2 2.86 2.42 1.61 [] 3 0
Sp0002+0115 00020623+0115360 2738415592529108096 I+z 0 0.0 100 0.5259069000000001 1.2600395 16.34 14.22 12.17 11.54 11.13 20.81 0.0605 0.1 0.02 0.12 0.01 2749.0 105.0 6.5 1.0 14.19 4.48 1.82 [] 3 output_list
Sp0004+5843 00040760+5843007 423130041883475968 I+z 0 0.0 100 1.0314046000000001 58.716818 18.37 15.97 13.7 12.99 12.48 35.2116 0.4635 0.09 0.02 0.11 0.01 2626.0 106.0 7.4 1.1 6.28 3.19 1.18 [] 3 0
Sp0004-4044 00043484-4044058 4996141155411984128 I+z 0 0.0 200 1.146191 -40.7351291 18.35 16.53 13.11 12.05 11.4 12.1811 0.0559 0.07 0.02 0.09 0.01 2041.0 105.0 11.4 1.1 11.26 6.52 4.18 [] 1 0
Sp0004-2058 00044144-2058298 2340736324254735488 I+z 35 11.449 100 1.1730139 -20.9749664 16.87 15.55 12.4 11.83 11.4 15.0751 0.0367 0.08 0.02 0.11 0.01 2329.0 104.0 9.4 1.1 12.74 4.57 2.31 ['Europa'] 3 output_list
Sp0005+0217 00050184+0217120 2739077223651402240 I+z 0 0.0 100 1.2576252 2.2866248 17.83 15.83 13.69 13.06 12.68 39.0681 0.3398 0.09 0.02 0.12 0.01 2690.0 105.0 7.0 1.1 6.1 2.76 0.98 [] 3 0
Sp0005-2157 00054844-2157196 2340605825968413184 I+z 0 0.0 100 1.4521621999999998 -21.955489899999996 17.63 15.98 13.27 12.62 12.2 25.3567 0.1052 0.08 0.02 0.11 0.01 2479.0 105.0 8.4 1.1 8.03 3.57 1.48 [] 3 output_list
Sp0006+0439 00062623+0439115 2741783362285662592 I+z 0 0.0 100 1.6092862 4.6532415 17.02 15.16 12.96 12.35 12.01 27.2656 0.1225 0.09 0.02 0.12 0.01 2658.0 105.0 7.2 1.1 10.18 3.5 1.33 [] 3 output_list
Sp0007-2458 00070787-2458042 2336406413104712320 I+z 0 0.0 100 1.7829665000000001 -24.9678772 17.34 15.2 13.12 12.45 12.06 30.7169 0.1716 0.1 0.02 0.11 0.01 2726.0 105.0 6.7 1.1 9.51 3.53 1.29 [] 3 output_list
