,Sp_ID,binned_precision_1,binned_precision_2,Teff,distance,Gmag,Jmag,Hmag,Ksmag,star_mag,Prog,SNR_1,SNR_2,N_star_1 [e/s],N_star_2 [e/s],exp_time_1,exp_time_2,N_star_1 [e],N_star_2 [e],well_fill_1,well_fill_2,SNR_ratio
2.421137424841636e+18,Sp0000-1245,0.0010543267101885056,0.001216277604793236,2743.0,31.2782,17.77,13.2,12.45,11.97,13.714226235109159,3.0,6.561595434807362,5.687899950722529,3798.175297920802,16391.83980203962,120.0,31.28158185496434,455781.03575049626,512762.6785209648,0.5378480462377854,0.7,0.8668470964469812
2.772182900286956e+18,Sp0001+1535,0.02093076553152759,0.01093051491651014,1891.0,31.6163,20.8,15.52,14.51,13.71,16.354785678462896,3.0,0.4937418017521059,0.9454626762347296,135.2668175772682,1440.1373822548517,120.0,103.87232315194495,16232.018109272183,149590.41555277203,0.041870851479582236,0.7,1.914892911395459
2.738415592529108e+18,Sp0002+0115,0.0006618584412150531,0.0006961887530651474,2749.0,20.81,16.34,12.17,11.54,11.13,12.821373239696442,1.0,8.78299074039316,8.349885767400337,8571.403584627953,37305.15933069384,70.93585560087709,15.818806825597258,608019.8469760087,590123.109050373,0.7,0.7,0.9506882125013564
4.23130041883476e+17,Sp0004+5843,0.0017137562911337591,0.0019901557415809216,2626.0,35.2116,18.37,13.7,12.99,12.48,14.369852790476916,3.0,4.036784789155535,3.476142687643558,2003.0968296947847,8961.425091846066,120.0,47.926373503505445,240371.61956337417,429488.60607550014,0.29478492090463704,0.7,0.8611166730963483
4.996141155411984e+18,Sp0004-4044,0.0024903830956022077,0.001338543137780908,2041.0,12.1811,18.35,13.11,12.05,11.4,13.848072730479084,1.0,4.149720540521222,7.720628191871419,1286.1113203917623,14490.691242018378,120.0,34.33235867297569,154333.35844701147,497499.6091403225,0.19770128818634342,0.7,1.860517621965376
2.3407363242547354e+18,Sp0004-2058,0.0015786752500165223,0.0010147607216373783,2329.0,15.0751,16.87,12.4,11.83,11.4,13.449231892762995,1.0,4.38219660965481,6.817435067062552,2218.0241312723647,20923.07144299728,120.0,25.814342642697156,266162.89575268375,540115.3353671638,0.3238872150748153,0.7,1.555711820880526
2.414623952318068e+18,Sp0004-1709,0.0005095535333835047,0.00045327965514714536,2985.0,17.0426,14.61,11.0,10.46,10.08,11.807235494953431,2.0,7.301257974029914,8.207696411178453,19246.043007225944,94934.48463364725,31.944373050233995,6.696833531528837,614802.7775636729,635760.439993018,0.7,0.7,1.1241482550503872
2.739077223651402e+18,Sp0005+0217,0.001576919554401174,0.001929649917674804,2690.0,39.0681,17.83,13.69,13.06,12.68,14.330720040084955,3.0,3.686362151080276,3.012513569118043,2221.121182530505,9290.30942739963,120.0,46.82360429032204,266534.5419036606,435005.7723632086,0.3243065722067988,0.7,0.8172049965940639
2.340605825968413e+18,Sp0005-2157,0.0022065249385864075,0.001540638486095442,2479.0,25.3567,17.63,13.27,12.62,12.2,14.03832604481806,3.0,3.135276292322518,4.49038849204744,1479.7527165639292,12161.517726232587,120.0,38.991153723210246,177570.3259876715,474191.6071710811,0.223921358105624,0.7,1.43221460355607
2.7417833622856627e+18,Sp0006+0439,0.0010425041851855066,0.001205209628061168,2658.0,27.2656,17.02,12.96,12.35,12.01,13.701247435979514,3.0,5.576089423188705,4.823307435731695,3860.085657704387,16588.962319845552,120.0,30.995998682880998,463210.2789245264,514191.4542162952,0.5462310366228069,0.7,0.8649982218135718
2.44163050051708e+18,Sp0006-0732,0.0006896544532887746,0.00033495108406891,2964.0,4.8493,11.78,8.32,7.79,7.44,9.087378940108081,1.0,5.394559233352213,11.107239163453588,234910.6642705261,1162429.489658718,2.6388786667476083,0.573279200499947,619900.7405350009,666396.6484691112,0.7,0.7,2.058970655986565
2.336406413104712e+18,Sp0007-2458,0.0010251390667649388,0.0012006179057706147,2726.0,30.7169,17.34,13.12,12.45,12.06,13.695816738470521,3.0,5.6705443672022176,4.841754010749769,3954.757493447896,16672.145803848744,120.0,30.877044286967443,474570.8992137475,514786.5843442161,0.5590501042480706,0.7,0.8538428935948236
4.202354787442482e+17,Sp0008+5453,0.001354966836074911,0.001619589629605644,2672.0,33.8419,17.61,13.44,12.79,12.38,14.104407636409116,3.0,4.290213166753462,3.5892404189191436,2697.048913466846,11443.401625897452,120.0,40.69366333610528,323645.8696160215,465673.9331841107,0.38874970589800834,0.7,0.8366112077445405
3.936215249103433e+17,Sp0008+4918,0.0004940271120627174,0.0004269182865418775,2927.0,14.7611,14.41,10.86,10.32,9.98,11.602249858498846,1.0,8.644963704289601,10.003896734693432,23015.96317080587,114661.66706399467,26.751266592766683,5.592834764841498,615706.1666715274,641283.7577501908,0.7,0.7,1.1571936073866376
2.8602970405821537e+18,Sp0008+2911,0.0018380442939453054,0.0021986139635305256,2648.0,38.5021,18.21,13.83,13.13,12.69,14.494773152855057,3.0,3.7638186147946135,3.146557532664516,1839.0857251689433,7987.464370844692,120.0,51.519652784265574,220690.2870202732,411511.3910126108,0.27257694929725135,0.7,0.8360013737899586
2.3647400718376607e+18,Sp0010-2031,0.005400276427546407,0.0032296294870827356,2260.0,28.3947,18.86,14.13,13.37,12.88,14.961594158392868,3.0,1.5500797338126233,2.5918945441902568,549.1058742891018,5196.136266326052,120.0,65.619680341697,65892.70491469222,340968.80080821447,0.09790685006671208,0.7,1.6721040135239715
