#RESOURCE=yCat_36450100
#Name: J/A+A/645/A100
#Title: SPECULOOS. Ultracool dwarf transit survey (Sebastian+,2021)
#Table	J_A_A_645_A100_targets:
#Name: J/A+A/645/A100/targets
#Title: SPECULOOS target list
#Column	SPC	(A13)	SPECULOOS ID (SpHHMM+DDMM_N)	[ucd=meta.id,meta.main]
#Column	2MASS	(A16)	2MASS designation (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	GaiaDR2	(I19)	? Gaia DR2 source_id [NULL integer written as an empty string]	[ucd=meta.id]
#Column	SimbadMain	(a31)	Main identifier for an object	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	Right ascension (J2000)	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(F11.7)	Declination (J2000)	[ucd=pos.eq.dec,meta.main]
#Column	Dist	(F7.4)	Distance	[ucd=pos.distance]
#Column	e_Dist	(F7.4)	Distance error	[ucd=stat.error]
#Column	Gmag	(F5.2)	? Gaia DR2 G magnitude	[ucd=phot.mag,em.opt]
#Column	e_Gmag	(F5.2)	? Gaia DR2 G magnitude error	[ucd=stat.error,phot.mag]
#Column	Icmag	(F5.2)	Cousins I magnitude	[ucd=phot.mag,em.opt.I]
#Column	e_Icmag	(F5.2)	? Cousins I magnitude error	[ucd=stat.error,phot.mag]
#Column	Jmag	(F5.2)	2MASS J magnitude	[ucd=phot.mag,em.IR.J]
#Column	e_Jmag	(F5.2)	? 2MASS J magnitude error	[ucd=stat.error,phot.mag]
#Column	Hmag	(F5.2)	2MASS H magnitude	[ucd=phot.mag,em.IR.H]
#Column	e_Hmag	(F5.2)	? 2MASS H magnitude error	[ucd=stat.error,phot.mag]
#Column	Ksmag	(F5.2)	2MASS Ks magnitude	[ucd=phot.mag,em.IR.K]
#Column	e_Ksmag	(F5.2)	? 2MASS K magnitude error	[ucd=stat.error,phot.mag]
#Column	BP-RP	(F7.2)	? Gaia DR2 BP-RP colour index	[ucd=phot.color,em.opt.B,em.opt.R]
#Column	SpType	(F4.1)	Photometric spectral type	[ucd=src.spType]
#Column	e_SpType	(F4.1)	Photometric spectral type error	[ucd=stat.error,src.spType]
#Column	Teff	(F6.1)	Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	Effective temperature error	[ucd=stat.error,phys.temperature.effective]
#Column	Mass	(F7.2)	Stellar mass	[ucd=phys.mass]
#Column	e_Mass	(F7.2)	? Stellar mass error	[ucd=stat.error,phys.mass]
#Column	Radius	(F7.2)	Stellar radius	[ucd=phys.angSize,src]
#Column	e_Radius	(F7.2)	? Stellar radius error	[ucd=stat.error,phys.size.radius]
#Column	BCJ	(F7.2)	Bolometric correction in J	[ucd=phot.mag.bc]
#Column	e_BCJ	(F7.2)	Bolometric correction error in J	[ucd=stat.error]
#Column	Lbol	(F7.2)	Stellar Luminosity	[ucd=phys.luminosity]
#Column	e_Lbol	(F7.2)	? Stellar Luminosity error	[ucd=stat.error]
#Column	SpTypeS	(a11)	Spectroscopic Spectral type	[ucd=src.spType]
#Column	r_SpTypeS	(A19)	Reference bibcode for spectroscopic type	[ucd=meta.ref,pos.frame]
#Column	SpTypeP	(a7)	Photometric Spectral type	[ucd=src.spType]
#Column	r_SpTypeP	(A19)	Reference bibcode for photometric type	[ucd=meta.ref,pos.frame]
#Column	KnownBin	(F4.1)	Object is a known binary	[ucd=meta.code]
#Column	Prog	(F4.1)	The SPECULOOS observing programme	[ucd=meta.id,obs]
#Column	SNRJWST	(F5.2)	Expected atmospheric S/N for JWST	[ucd=stat.snr]
#Column	SNRTESS	(F6.2)	Expected detection S/N with TESS	[ucd=stat.snr]
#Column	SNRSPC	(F5.2)	Expected detection S/N with SPECULOOS	[ucd=stat.snr]

SPC,2MASS,GaiaDR2,SimbadMain,RAJ2000,DEJ2000,Dist,e_Dist,Gmag,e_Gmag,Icmag,e_Icmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,BP-RP,SpType,e_SpType,Teff,e_Teff,Mass,e_Mass,Radius,e_Radius,BCJ,e_BCJ,Lbol,e_Lbol,SpTypeS,r_SpTypeS,SpTypeP,r_SpTypeP,KnownBin,Prog,SNRJWST,SNRTESS,SNRSPC
Sp0000-1245,00002867-1245153,2421137424841635840,DENIS J000028.6-124514,000.1193751,-12.7542112,31.2782,0.2861,17.77,0.00,16.28,0.27,13.20,0.03,12.45,0.02,11.97,0.02,4.28,6.6,1.0,2743.0,105.0,0.10,0.00,0.11,0.01,1.94,0.02,6.74,0.24,M9.2V,2014ApJ...794..143B,,,0.0,3.0,3.83,2.72,9.18
Sp0001+1535,00011217+1535355,2772182900286956160,2MASS J00011217+1535355,000.3007107,+15.5932068,31.6163,1.8013,20.80,0.01,19.38,0.09,15.52,0.06,14.51,0.05,13.71,0.04,2.36,12.5,1.2,1891.0,116.0,0.07,0.01,0.09,0.01,1.83,0.10,0.90,0.14,L4,2004AJ....127.3553K,L4,2004AJ....127.3553K,0.0,3.0,2.42,0.66,4.30
Sp0002+0115,00020623+0115360,2738415592529108096,LP  584-4,000.5259069,+01.2600395,20.8100,0.0605,16.34,0.00,15.22,0.27,12.17,0.02,11.54,0.02,11.13,0.02,4.64,6.5,1.0,2749.0,105.0,0.10,0.00,0.12,0.01,1.94,0.02,7.72,0.22,M6.5e,2006A&A...446..515P,,,0.0,1.0,4.48,6.06,13.40
Sp0004+5843,00040760+5843007,423130041883475968,,001.0314046,+58.7168180,35.2116,0.4635,18.37,0.00,16.98,0.25,13.70,0.04,12.99,0.04,12.48,0.04,4.17,7.4,1.1,2626.0,106.0,0.09,0.00,0.11,0.01,1.96,0.01,5.33,0.26,,,,,0.0,3.0,3.19,2.02,6.36
Sp0004-4044,00043484-4044058,4996141155411984128,L  362-29 B,001.1461910,-40.7351291,12.1811,0.0559,18.35,0.00,16.91,0.07,13.11,0.02,12.05,0.03,11.40,0.03,4.71,11.4,1.1,2041.0,105.0,0.07,0.00,0.09,0.01,1.91,0.06,1.15,0.07,L5+L5,2008AJ....136.1290R,,,1.0,1.0,6.52,2.13,15.98
Sp0004-2058,00044144-2058298,2340736324254735488,2MASS J00044144-2058298,001.1730139,-20.9749664,15.0751,0.0367,16.87,0.00,16.02,0.14,12.40,0.02,11.83,0.02,11.40,0.02,5.24,9.4,1.1,2329.0,104.0,0.08,0.00,0.11,0.01,1.97,0.01,3.21,0.07,M7.0,2019ApJ...883..205B,M9,2018A&A...619L...8R,0.0,1.0,4.57,2.76,14.16
Sp0004-1709,00045753-1709369,2414623952318068224,2MASS J00045753-1709369,001.2398172,-17.1602658,17.0426,0.0355,14.61,0.00,13.59,0.30,11.00,0.02,10.46,0.02,10.08,0.02,3.77,5.0,0.9,2985.0,104.0,0.12,0.00,0.15,0.02,1.90,0.03,15.83,0.58,M5.5V,2012AJ....144...99D,,,0.0,2.0,3.80,10.02,10.62
Sp0005+0217,00050184+0217120,2739077223651402240,WISEA J000502.05+021714.2,001.2576252,+02.2866248,39.0681,0.3398,17.83,0.00,16.87,0.27,13.69,0.03,13.06,0.04,12.68,0.02,4.39,7.0,1.1,2690.0,105.0,0.09,0.00,0.12,0.01,1.95,0.02,6.65,0.24,,,M7.5,2018A&A...619L...8R,0.0,3.0,2.76,1.90,5.89
Sp0005-2157,00054844-2157196,2340605825968413184,SSSPM J0006-2157,001.4521622,-21.9554899,25.3567,0.1052,17.63,0.00,16.75,0.19,13.27,0.03,12.62,0.02,12.20,0.03,5.05,8.4,1.1,2479.0,105.0,0.08,0.00,0.11,0.01,1.96,0.00,4.08,0.10,M8.7V,2014ApJ...794..143B,,,0.0,3.0,3.57,2.17,8.51
Sp0006+0439,00062623+0439115,2741783362285662592,LSPM J0006+0439,001.6092862,+04.6532415,27.2656,0.1225,17.02,0.00,16.19,0.26,12.96,0.03,12.35,0.03,12.01,0.02,4.83,7.2,1.1,2658.0,105.0,0.09,0.00,0.12,0.01,1.96,0.01,6.33,0.18,,,M7.5,2018A&A...619L...8R,0.0,3.0,3.50,2.69,9.88
Sp0006-0732,00064325-0732147,2441630500517079808,G 158-27,001.6799580,-07.5380623,4.8493,0.0030,11.78,0.00,10.98,0.30,8.32,0.02,7.79,0.03,7.44,0.02,3.69,5.2,0.9,2964.0,105.0,0.12,0.00,0.15,0.02,1.91,0.03,15.03,0.50,M5.5V,1983SAAOC...7..106W,,,0.0,1.0,4.56,67.44,11.71
Sp0007-2458,00070787-2458042,2336406413104712320,LEHPM 193,001.7829665,-24.9678772,30.7169,0.1716,17.34,0.00,16.23,0.29,13.12,0.02,12.45,0.02,12.06,0.02,4.61,6.7,1.1,2726.0,105.0,0.10,0.00,0.12,0.01,1.95,0.02,6.99,0.22,M7.7V,2014ApJ...794..143B,,,0.0,3.0,3.53,2.64,9.15
Sp0008+5453,00083459+5453428,420235478744248192,Gaia DR2 420235478744248192,002.1438542,+54.8952200,33.8419,0.1969,17.61,0.00,16.65,0.27,13.44,0.02,12.79,0.02,12.38,0.02,4.51,7.1,1.1,2672.0,105.0,0.09,0.00,0.12,0.01,1.95,0.02,6.27,0.18,,,M8,2018A&A...619L...8R,0.0,3.0,3.13,2.16,7.05
Sp0008+4918,00085512+4918561,393621524910343296,LP  191-43,002.2306785,+49.3156445,14.7611,0.0170,14.41,0.00,13.58,0.32,10.86,0.02,10.32,0.02,9.98,0.02,3.78,5.4,1.0,2927.0,104.0,0.11,0.00,0.14,0.02,1.91,0.03,13.34,0.48,M5.5V,2005A&A...442..211S,,,0.0,1.0,4.24,11.97,12.01
Sp0008+2911,00085931+2911521,2860297040582153600,2MASS J00085931+2911521,002.2470473,+29.1977456,38.5021,0.3791,18.21,0.00,17.06,0.26,13.83,0.02,13.13,0.03,12.69,0.03,3.80,7.2,1.1,2648.0,105.0,0.09,0.00,0.11,0.01,1.96,0.01,5.66,0.19,M8.5,2008AJ....136.1290R,,,0.0,3.0,2.90,1.78,5.82
Sp0010-2031,00100009-2031122,2364740071837660672,2MASSI J0010001-203112,002.5004679,-20.5200619,28.3947,0.3120,18.86,0.00,17.81,0.12,14.13,0.02,13.37,0.03,12.88,0.03,4.36,9.9,1.1,2260.0,105.0,0.08,0.00,0.10,0.01,1.96,0.02,2.33,0.08,L0,2007AJ....133..439C,,,0.0,3.0,3.08,0.80,5.80
Sp0010-0746,00102936-0746487,2429635550212644608,2MASS J00102936-0746487,002.6223720,-07.7802664,29.2430,0.1909,17.45,0.00,16.34,0.27,13.13,0.03,12.49,0.02,12.08,0.03,4.54,7.1,1.1,2662.0,105.0,0.09,0.00,0.12,0.01,1.95,0.02,6.23,0.20,,,M8,2018A&A...619L...8R,0.0,3.0,3.47,2.50,8.87
Sp0011-3334,00110248-3334463,2310240437249834496,Gaia DR2 2310240437249834496,002.7603567,-33.5796040,35.2052,0.2673,17.46,0.00,16.39,0.27,13.34,0.02,12.66,0.02,12.32,0.02,4.67,6.5,1.0,2758.0,105.0,0.10,0.00,0.12,0.01,1.94,0.02,7.52,0.24,,,M7.5,2018A&A...619L...8R,0.0,3.0,3.18,2.32,7.58
Sp0011+5908,00113182+5908400,423027104407576576,2MASS J00113182+5908400,002.8788798,+59.1444124,9.3091,0.0056,13.49,0.00,12.71,0.32,9.95,0.02,9.39,0.03,9.09,0.02,3.83,5.5,1.0,2902.0,105.0,0.11,0.00,0.14,0.02,1.92,0.03,12.23,0.44,M6.0V,2015A&A...577A.128A,,,0.0,1.0,4.83,27.85,13.23
Sp0012+5159,00122517+5159204,395797630219580032,Gaia DR2 395797630219580032,003.1032685,+51.9889449,31.8578,0.3863,19.37,0.00,18.39,0.10,14.66,0.03,13.82,0.03,13.41,0.03,3.94,10.5,1.1,2174.0,105.0,0.07,0.00,0.10,0.01,1.95,0.03,1.82,0.08,,,L0.5,2018A&A...619L...8R,0.0,3.0,2.60,0.68,4.97
Sp0013+4012,00130254+4012149,383030719672118528,LSPM J0013+4012,003.2602292,+40.2041241,38.2525,0.2145,17.29,0.00,16.66,0.28,13.53,0.02,12.94,0.03,12.62,0.02,4.31,6.8,1.1,2719.0,105.0,0.09,0.00,0.12,0.01,1.95,0.02,7.41,0.22,,,M7.5,2018A&A...619L...8R,0.0,3.0,2.74,1.97,6.26
Sp0013-2235,00135779-2235200,2361294885296927488,2MASS J00135779-2235200,003.4908153,-22.5889735,27.1628,1.4436,20.88,0.01,19.70,0.10,15.78,0.07,14.60,0.06,14.04,0.05,2.02,13.7,1.3,1737.0,114.0,0.07,0.05,0.08,0.01,1.72,0.13,0.58,0.10,L5.7V,2014ApJ...794..143B,,,0.0,3.0,2.20,0.71,4.46
Sp0014-3245,00140580-3245599,2316363175123938560,2MASS J00140580-3245599,003.5242695,-32.7666224,33.0495,0.2611,17.01,0.00,15.94,0.29,12.97,0.03,12.40,0.03,12.03,0.03,4.32,6.2,1.0,2808.0,105.0,0.10,0.00,0.13,0.02,1.94,0.03,9.38,0.35,M7,2017AJ....154...69S,M7.5,2018A&A...619L...8R,0.0,3.0,3.12,2.56,8.68
Sp0014-4844,00145575-4844171,4977142934516994176,2MASS J00145575-4844171,003.7343152,-48.7380285,19.9575,0.1553,19.07,0.00,17.85,0.08,14.05,0.04,13.11,0.04,12.72,0.03,4.06,11.4,1.1,2049.0,105.0,0.07,0.00,0.09,0.01,1.91,0.06,1.30,0.08,L2.5,2013AJ....146..161M,,,0.0,3.0,3.70,1.02,7.31
Sp0015+4239,00151547+4239288,383847961754087040,WISEA J001515.40+423927.0,003.8143160,+42.6579510,27.5383,0.3365,19.54,0.00,18.44,0.07,14.65,0.03,13.77,0.03,13.33,0.03,3.44,11.3,1.1,2063.0,105.0,0.07,0.00,0.09,0.01,1.91,0.06,1.41,0.09,,,,,0.0,3.0,2.75,0.74,5.22
Sp0015+3516,00154476+3516026,2876239130257160960,2MASSW J0015447+351603,003.9366105,+35.2673998,17.0624,0.1067,18.68,0.00,17.70,0.07,13.88,0.03,12.89,0.04,12.26,0.02,4.51,11.7,1.1,1998.0,105.0,0.07,0.00,0.09,0.01,1.89,0.07,1.13,0.08,L1.0V,2014ApJ...794..143B,,,0.0,1.0,4.51,1.20,8.36
Sp0017-4054,00171491-4054410,4995537965909399552,WISEA J001714.82-405445.0,004.3119328,-40.9113924,38.2289,0.5581,19.15,0.00,18.20,0.13,14.55,0.03,13.91,0.04,13.40,0.04,4.44,9.6,1.1,2303.0,107.0,0.08,0.00,0.11,0.01,1.96,0.01,2.86,0.11,,,M9.5,2018A&A...619L...8R,0.0,3.0,2.26,0.58,4.22
Sp0018-6356,00184613-6356122,4900453540369793408,2MASS J00184613-6356122,004.6938349,-63.9366153,36.6160,0.7121,19.99,0.01,18.98,0.09,15.22,0.04,14.23,0.04,13.61,0.04,3.23,10.8,1.1,2130.0,107.0,0.08,0.00,0.09,0.01,1.94,0.04,1.45,0.10,L2,2008AJ....136.1290R,,,0.0,3.0,2.62,0.66,4.70
Sp0019+0030,00191165+0030176,2545563520758981760,2MASS J00191165+0030176,004.7985453,+00.5049021,38.3051,0.8961,19.82,0.00,18.65,0.10,14.92,0.04,14.18,0.04,13.57,0.03,2.79,10.4,1.1,2191.0,108.0,0.08,0.00,0.10,0.01,1.95,0.03,2.07,0.13,L0.4V,2014ApJ...794..143B,,,0.0,3.0,2.27,0.57,4.11
Sp0019+0450,00192745+0450297,2741250786341356288,LP  524-100,004.8645149,+04.8416454,24.7101,0.0741,15.34,0.00,14.67,0.29,11.98,0.03,11.40,0.03,11.09,0.02,3.59,5.3,0.9,2940.0,105.0,0.11,0.00,0.14,0.02,1.91,0.03,13.37,0.50,M5.5V,2005PASP..117..676R,,,0.0,2.0,3.50,6.66,10.57
Sp0019-3724,00193927-3724392,4998742462483975424,2MASS J00193927-3724392,004.9139298,-37.4109063,39.5757,2.8905,20.70,0.01,19.29,0.10,15.52,0.06,14.47,0.04,13.69,0.06,3.09,11.0,1.2,2100.0,124.0,0.08,0.00,0.09,0.01,1.93,0.05,1.29,0.21,L3,2015ApJS..219...33G,,,0.0,3.0,2.61,0.63,4.51
Sp0019+5213,00194579+5213179,419121948343397888,2MASSI J0019457+521317,004.9418277,+52.2215512,19.9562,0.0717,17.35,0.00,16.25,0.20,12.79,0.02,12.07,0.02,11.62,0.02,4.86,8.3,1.1,2489.0,105.0,0.08,0.00,0.11,0.01,1.96,0.00,3.94,0.09,M9,2007AJ....133.2258S,,,0.0,1.0,4.54,2.90,12.54
Sp0020+3305,00202922+3305081,2863419584886542080,LP  292-67,005.1234310,+33.0851189,12.2502,0.0175,13.96,0.00,12.87,0.30,10.28,0.02,9.69,0.02,9.33,0.02,3.88,5.0,0.9,2999.0,104.0,0.12,0.00,0.15,0.02,1.90,0.03,15.88,0.57,,,M5.5V,,0.0,1.0,4.18,20.80,11.12
Sp0020-2155,00203752-2155296,2361213216492876160,,005.1562344,-21.9249665,39.1606,0.6945,19.12,0.00,18.11,0.14,14.50,0.03,13.87,0.03,13.31,0.03,4.31,9.3,1.1,2347.0,106.0,0.08,0.00,0.11,0.01,1.97,0.01,3.13,0.15,,,,,0.0,3.0,2.33,0.59,4.25
Sp0021-4244,00210589-4244433,4992141475707360640,Koenigstuhl 1B,005.2750567,-42.7454158,25.9590,0.3665,18.36,0.00,17.06,0.17,13.52,0.03,12.81,0.03,12.30,0.03,4.02,8.8,1.1,2418.0,106.0,0.08,0.00,0.10,0.01,1.97,0.01,3.38,0.12,L0.6:V,2014ApJ...794..143B,,,0.0,3.0,3.63,1.28,7.59
