target,start time (UTC),end time (UTC),duration (minutes),ra (h),ra (m),ra (s),dec (d),dec (m),dec (s),configuration
BD-16-52-,020-09-25 23:28:40.019,2020-09-26 09:23:20.020,561.9999999999999,0.0,21.0,0.7729680000002048,-16.0,-7.0,-28.6100399999998,"{'texp=10', 'filt=I+z'}"
BD-16-52-,2020-10-04 23:32:20.019,2020-10-05 08:48:00.019,555.6666666666666,0.0,21.0,0.7729680000002048,-16.0,-7.0,-28.6100399999998,"{'texp=10', 'filt=I+z'}"
EP228740289,2020-03-28 23:56:40.020,2020-03-29 08:57:40.020,541.0000000000001,12.0,12.0,28.591008000006752,-9.0,-22.0,-6.799799999997732,"{'texp=40', 'filt=I+z'}"
EP228740289,2020-02-23 22:26:00.016,2020-02-24 06:45:16.423,499.27344999999985,12.0,12.0,28.591008000006752,-9.0,-22.0,-6.799799999997732,"{'texp=77', 'filt=I+z'}"
EP249631677,2020-02-23 01:48:00.024,2020-02-23 06:46:10.213,298.16981666666646,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=86'}"
EP249631677,2020-02-26 04:44:40.030,2020-02-26 09:44:05.992,299.4326999999999,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'texp=40', 'filt=I+z'}"
EP249631677,2020-02-23 01:48:00.024,2020-02-23 06:46:10.213,298.16981666666646,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=86'}"
EP249631677,2020-03-17 03:26:00.027,2020-03-17 09:54:55.176,388.91914999999983,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=40'}"
EP249631677,2020-03-19 06:40:40.027,2020-03-19 09:55:50.316,397.1714833333332,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=40'}"
EP249631677,2020-05-12 21:49:40.015,2020-05-13 03:59:20.015,369.66666666666674,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=40'}"
EP249631677,2020-05-14 21:41:40.015,2020-05-15 03:51:20.015,369.66666666666674,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'texp=40', 'filt=I+z'}"
EP249631677,2020-05-15 21:37:40.015,2020-05-16 03:47:40.015,370.0,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=40'}"
EP249631677,2020-05-17 21:30:00.014,2020-05-18 03:39:40.014,369.66666666666674,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'texp=40', 'filt=I+z'}"
EP249631677,2020-05-11 21:53:40.015,2020-05-12 04:03:20.015,369.66666666666674,15.0,12.0,5.197992000012448,-20.0,-6.0,-30.699719999999214,"{'filt=I+z', 'texp=40'}"
GJ-299,2020-03-15 20:05:40.011,2020-03-16 02:12:20.011,366.66666666666674,8.0,11.0,57.559584000001394,8.0,46.0,22.983240000004344,"{'texp=26', ""filt=r'""}"
GJ-299,2020-03-11 20:03:20.011,2020-03-12 02:28:00.011,384.6666666666666,8.0,11.0,57.559584000001394,8.0,46.0,22.983240000004344,"{""filt=r'"", 'texp=30'}"
GJ-299,2020-03-11 23:51:00.019,2020-03-12 05:27:20.019,336.33333333333337,8.0,11.0,57.559584000001394,8.0,46.0,22.983240000004344,"{""filt=r'"", 'texp=12'}"
GJ-299,2020-03-25 23:36:20.019,2020-03-26 04:32:20.019,295.9999999999999,8.0,11.0,57.559584000001394,8.0,46.0,22.983240000004344,"{'texp=12', ""filt=r'""}"
Gaijin-1,2019-09-05 00:17:20.027,2019-09-05 09:09:20.027,532.0,22.0,56.0,22.620000000009952,-6.0,-59.0,-46.50999999999897,"{'filt=Clear', 'texp=50"
HD-14326-,2020-09-30 01:21:00.023,2020-09-30 09:32:45.211,491.75313333333344,2.0,18.0,13.157640000000725,-31.0,-5.0,-17.38860000000102,"{'texp=10', 'filt=I+z'}"
