| Target |.1 Hours |.2
| ------------------------- | ------ |
| EP249631677 | 8.0970 |
| GAIJIN-1 | 3.0115 |
| GJ-299 | 5.5518 |
| GJ1132 | 45.630 |
| GJ1132B | 53.415 |
| HW-VIR | 7.8036 |
| J1509-10 | 9.9954 |
| LUHMAN-16 | 16.610 |
| NGC-2359 | 1.1089 |
| NGC5128 | 0.7819 |
| NGTS-1 | 7.4763 |
| NGTS-BD | 17.101 |
| NGTS-X | 11.398 |
| NGTS-XBB | 11.449 |
| NGTS0002-2953 | 9.6667 |
| NOI-105435 | 4.6551 |
| PROXIMA | 7.0678 |
| SP0004-2058 | 87.527 |
| SP0024-0158 | 162.51 |
| SP0026-5428 | 48.764 |
| SP0051-2251 | 25.110 |
| SP0052-6201 | 7.8556 |
| SP0055-3052 | 5.1861 |
| SP0102-3737 | 23.436 |
| SP0102-6322 | 35.697 |
| SP0109-0343 | 54.213 |
| SP0109-4954 | 32.804 |
| SP0109-5100 | 147.80 |
| SP0111-4908 | 66.913 |
| SP0123-4240 | 76.107 |
| SP0124-3355 | 31.521 |
| SP0138-7320 | 67.784 |
| SP0207-3721 | 53.346 |
| SP0214-0357 | 195.69 |
| SP0215-3040 | 134.60 |
| SP0216+1335 | 25.372 |
| SP0216-2200 | 21.643 |
| SP0222-2732 | 144.33 |
| SP0237-3434 | 61.270 |
| SP0248-1651 | 92.002 |
| SP0249-3131 | 23.555 |
| SP0253+1652 | 28.178 |
| SP0253-2336 | 107.11 |
| SP0253-7957 | 44.547 |
| SP0253-7959 | 10.312 |
| SP0254-1934 | 128.81 |
| SP0255-4700 | 120.94 |
| SP0306-2647 | 104.54 |
| SP0306-3647 | 101.38 |
| SP0306-3648 | 41.710 |
| SP0314+1603 | 12.253 |
| SP0314+2840 | 8.5492 |
| SP0319-3703 | 50.604 |
| SP0320+1854 | 52.231 |
| SP0330-4835 | 50.955 |
| SP0331-3042 | 207.38 |
| SP0334-4953 | 157.53 |
| SP0339-3525 | 247.45 |
| SP0351-0052 | 58.316 |
| SP0352-5955 | 71.583 |
| SP0354-1437 | 220.83 |
