Sp_ID,SSO_texp,SNO_texp,Saintex_texp,TS_texp,TN_texp
Sp0000-1245,116.47891423339459,142.29141600256796,301.83027636908355,10.0,10.0
Sp0001+1535,540.9890360849275,660.8758030843577,1401.8577641183344,10.0,10.0
Sp0002+0115,45.107350009051416,55.10343865371657,116.88608199273212,10.0,10.0
Sp0004+5843,186.5725468927621,227.91826365570117,483.46298351209333,10.0,10.0
Sp0004-4044,185.90297423096396,227.10030924059595,481.72792869217324,10.0,10.0
Sp0004-2058,77.67485594084224,94.88812041526715,201.2778311839,10.0,10.0
Sp0005+0217,184.86203950135243,225.82869645456083,479.03056823694715,10.0,10.0
Sp0005-2157,155.4150306114539,189.85603462507257,402.72492193197206,10.0,10.0
Sp0006+0439,94.37299547109161,115.28667867798177,244.54750022602192,10.0,10.0
Sp0007-2458,108.20499609144667,132.18394259370638,280.3901812593772,10.0,10.0
Sp0008+5453,146.84113750463962,179.38210980483683,380.50750564662354,10.0,10.0
Sp0008+2911,210.30410024970763,256.9088870086457,544.9582451698545,10.0,10.0
Sp0010-2031,382.191000512556,466.8870671081364,990.366505986956,10.0,10.0
Sp0010-0746,110.3691607321627,134.82770050660324,285.99815258976446,10.0,10.0
Sp0011-3334,132.50959105499683,161.87459738297403,343.37035808509637,10.0,10.0
Sp0012+5159,622.7022808457134,760.6972461300824,1613.600219063811,10.0,10.0
Sp0013+4012,157.85099133124058,192.8318204351167,409.0371948623687,10.0,10.0
Sp0013-2235,2174.1341515189515,2655.936733573014,5633.805192427605,10.0,10.0
Sp0014-3245,94.24261184699014,115.12740117596309,244.2096388581035,10.0,10.0
Sp0014-4844,441.86167855554214,539.7811641080172,1144.990348107915,10.0,10.0
Sp0015+4239,767.8675911864112,938.0321543302147,1989.7651758519703,10.0,10.0
Sp0015+3516,377.8212130321959,461.54890567090985,979.0431332413237,10.0,10.0
Sp0017-4054,562.7045883719054,687.4036661274527,1458.1289887552025,10.0,10.0
Sp0018-6356,1042.9907491879426,1274.1244332185122,2702.688191675632,10.0,10.0
Sp0019+0030,791.1893932968597,966.5222228363305,2050.198654501307,10.0,10.0
