Completed observations SPC,To schedule on SPC,Observations TS ,Spectrum,TOI,TIC ID,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Notes,Search for additional candidates,Retired,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS),Jmag
,,,,142.01,425934411,,3.0,5.0,5.0,3.0,1.0,4.0,4.0,64.3,143.8,8.0,0.0,0.0,PC,PC,14.7109,0.006999999999999999,1.0,spoc,SPOC,4.60586,-62.847875,6.11,0.068,5.18,0.059000000000000004,2458325.4861939996,0.00034600016,0.85335355214517,0.000003000903,1.1014878152965,0.053431965,28.03227,1.307248,25488.223264496002,1203.2957,12.693926989635,5.380599,262.10247643712,1026.2130441435002,29.692818,320.237,4.468999999999999,3658.0,,0.60807597637177,0.0190377,,,0.5946279999999999,0.0208477,"1,2,28,29",V-shaped; slight odd-even depending on detrending,"VPC+, no RV",,No,2018-11-14,2018-11-14,2021-10-29,13.356
,,,,234.01,12423815,2.568852,-26.282408,2458356.0880130003,2.8392809175434,,,,,,,,,,,,,,,,,2.568852,-26.282408,2458356.0880130003,,,,2458356.0880130003,,2.8392809175434,1.5658958679073,1.5658958679073,11.158205650602,662.61967673052,249.345,35948.028328003,4.438,11.158205650602,0.544652,"2,29",662.61967673052,,249.345,,3642.0,,0.54932999610901,,,,0.544652,,"2,29",check to update; Confirmed planet by HATS team (not yet published),,,No,,,,13.224
,,,,277.01,439456714,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.5,106.5,3.0,2.0,7.0,PC,PC,11.7315,0.006999999999999999,1.0,spoc,UNKNOWN,19.076698,-20.953277,-115.432,0.067,-249.17700000000002,0.049,2458385.036312,0.0007959427,3.9934418270472003,0.000008306464,1.9693064725507,0.11264866,6.317673,0.278102,5801.8957158640005,256.10855,4.2556644739526,0.24329622,28.235972054029,587.9229796377,20.975157,64.6692,0.13825,3748.0,0.34355399999999997,0.52311301231384,0.015618,,,0.520428,0.020342,"3,3",,"VPC+, HARPS",,No,2018-11-30,2021-07-13,2021-10-29,10.403
,,,,435.01,44647437,,1.0,4.0,1.0,1.0,3.0,4.0,4.0,9.6,57.1,4.0,0.0,3.0,PC,PC,12.9383,0.006,1.0,spoc,UNKNOWN,59.410574,-25.189938,15.304,0.027000000000000003,9.061,0.031,2458411.844766,0.0017278813,3.3529069824106004,0.00001420936,2.3906730999636,0.15382452,4.575361,0.326239,4205.196101569601,300.4317,5.2933196408505,0.60129565,76.248726939924,753.66422186414,16.897882,165.285,0.5489999999999999,3978.0,,0.6728320121765099,0.06582919999999999,,,0.632,0.0821204,"4,5,31",,"VPC+, chromaticity check needed, no RV",,No,2019-06-06,2021-02-01,2021-10-29,11.746
,,,,672.01,151825527,,3.0,4.0,4.0,3.0,4.0,4.0,4.0,26.8,132.8,6.0,1.0,4.0,PC,PC,11.6739,0.006999999999999999,1.0,spoc,UNKNOWN,167.990863,-39.328115000000004,85.141,0.046,-74.72800000000001,0.038,2458546.479982,0.00025414512,3.6335735388124,0.000003272654,1.7809076697393,0.053174198,9.442953,0.154976,8659.5689929587,142.72823,5.0924146400677,0.23408793,33.474284946818,613.47599933143,51.374588,66.9071,0.15285,3765.0,0.342271,0.54406797885895,0.016274,,,0.539888,0.0203613,"9,10,36",,"VPC+, Veloce RVs",,No,2019-05-07,2021-07-15,2021-10-29,10.36
,,,,734.01,146846569,,,,,,,,,,,,,,,,,,,,,160.88963600000002,-44.621815000000005,2458545.4485029997,,,,2458545.4485029997,,4.7535214550747,,1.0678579584738002,,,,230434.98269098,,11.849362187710001,,,324.13307529953,,,,3010.0,,0.20127999782561998,,,,0.170263,,"9,10,36",A 6sigma secondary. V-shaped. Likely EB.,,,Yes,,,,13.099
,,,,762.01,178709444,TIC 178709444.01,3.0,4.0,3.0,4.0,3.0,4.0,4.0,31.0,148.2,1.0,0.0,2.0,PC,PC,13.6615,0.006999999999999999,1.0,spoc,UNKNOWN,166.074742,-47.821496,-159.157,0.07,-24.515,0.067,2459329.5056310003,0.0008324,3.4716808020318997,0.0000032942403,1.3816977728099,0.044831025999999996,33.770063,0.877706,30624.643459912997,808.0704,8.027234045234,0.29949307,17.001217020345,517.89265579447,40.89199,98.4458,0.4309,3399.0,0.48498100000000005,0.42678499221802,0.0130268,,,0.421357,0.020525,"10,36,37",epoch from qlp-s37-tois; all other parameters from spoc-s01-s39 multisector,"VPC, chromaticity check needed, no RV",,No,2019-06-11,2021-11-09,2021-11-13,11.999
,,,,1880.01,359357695,TIC 359357695.01,3.0,4.0,3.0,3.0,3.0,4.0,4.0,32.1,169.6,6.0,0.0,2.0,PC,PC,13.0614,0.008,1.0,spoc-s01-s39-b0A-PC,CTOI,182.726187,-75.13193000000001,-39.400999999999996,0.094,-7.25,0.08900000000000001,2459363.247029,0.0017694175,1.7262630949033002,0.00007036324,1.7729838229783002,0.105738245,11.020562,0.541608,10098.972416366,498.7152,8.438075699568401,7.107346499999999,46.856078262911,667.28480222585,22.860867000000002,102.60799999999999,0.613,3631.4,0.01,0.55605798959732,0.016711,,,0.550671,0.0204107,"11,12,38,39",crowded field; v-shaped transits; CTOI from Luke Bouma; SG1 VPC and mentioned in Mann+2021 that has an Li double line suggestive of SB2,"VPC, interest by Luke Bouma, no RV",,Yes,2020-05-29,2022-03-22,2022-03-25,11.235
,,,,1883.01,348755728,TIC 348755728.01,3.0,4.0,4.0,3.0,2.0,4.0,4.0,13.1,83.5,6.0,0.0,3.0,PC,PC,13.3462,0.008,1.0,spoc,CTOI,134.089246,-12.930644000000001,30.75,0.106,3.168,0.192,2459256.846053,0.0026585974,4.5062989243837,0.00086939376,2.0637719399866,0.21284597,13.504323999999999,1.140936,12360.91041897,1050.2891,5.899443227945699,0.4822473,17.944011694536,524.92787494284,10.966861,115.369,0.8545,3477.0,0.008219,0.49357599020003995,0.014963299999999999,,,0.491671,0.0205038,"8,35",Match to TOI 633; Will Waalkes and Zach Berta-Thompson observed a full on 20190425 and ruled out a transit on TOI 633 but confirmed a 9.6 ppt event on 348755728; CTOI from Karen Collins,"VPC+, IRD intensive RVs",,No,2020-05-29,2021-04-15,2021-10-29,11.871
,,,,2205.01,260298958,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,92.8,125.7,3.0,0.0,2.0,PC,PC,15.0804,0.009000000000000001,1.0,spoc-s01-s39-b0A-PC,SPOC,94.315682,-56.509859,-2.397,0.07,27.724,0.077,2459361.955752,0.0010280111,0.88913923315302,0.0000015447602,1.2094134526248999,0.023659116,45.930896999999995,0.8432379999999999,41421.594127564,776.3495,14.2531081505,0.49608633,280.57496420096,1043.8352977122,56.565903000000006,409.034,5.74,3653.0,0.013104499999999998,0.6498870253562901,0.020705200000000003,,,0.627042,0.0210398,"27,28,29,31,35,36,37,38,39",SG1 should clear neighbor TIC 737476974; V-shaped; large PC,"VPC+, no RV",,No,2020-09-18,2022-03-21,2022-03-25,13.734
