#(Note that .01=c .02=d .03=b),,,,,
#.01=c is expected 30 min early compared to TESS transit finder,#Duration 1.66h,,,,
#.02=d is expected 25-30 min late compared to TESS transit finder,#Duration 2.23h,,,,
#.03=b is expected 15-20 min late compared to TESS transit finder,#Duration 1.41h,,,,
#Constraints: Avoid elevation below 25 deg; avoid bright moon closer than 70 deg; at least 50% transit coverage,,,,,
#The next good transits I can see are:,,,,,
#Priority 1=highest; 3=lowest,,,,,
Correct BJD_TDB (UTC),Correct Calendar Date (UTC),Planet,TOI Nr,Transit Coverage and Notes,Priority
2459811.7995806765,2022-08-20 07:11:23.770,b,0.03,100%,3
2459821.880045727,2022-08-30 09:07:15.951,b,0.03,100%,3
2459834.9035385805,2022-09-12 09:41:05.733,d,0.02,50% (ingress); problematic moon?,2
2459848.761258968,2022-09-26 06:16:12.775,b,0.03,100%,3
2459849.902895065,2022-09-27 09:40:10.134,c,0.01,50% (ingress),2
2459857.66272064,2022-10-05 03:54:19.063,d,0.02,75% (egress),1
2459858.8417108324,2022-10-06 08:12:03.816,b,0.03,100%,3
2459866.8849141984,2022-10-14 09:14:16.587,c,0.01,50% (ingress),2
2459875.6424912745,2022-10-23 03:25:11.246,b,0.03,100%,3
2459883.866593353,2022-10-31 08:47:53.666,c,0.01,66% (ingress),1
2459885.722974548,2022-11-02 05:21:05.001,b,0.03,100%,3
2459891.801553329,2022-11-08 07:14:14.208,d,0.02,100%; problematic moon?,1
2459895.8034472237,2022-11-12 07:16:57.840,b,0.03,100%,3
2459900.848898227,2022-11-17 08:22:24.807,c,0.01,75% (ingress),1
2459906.509429193,2022-11-23 00:13:34.682,c,0.01,50% (egress),2
2459912.60420942,2022-11-29 02:30:03.694,b,0.03,100%,3
2459914.560557668,2022-12-01 01:27:12.183,d,0.02,100%,1
2459917.83099592,2022-12-04 07:56:38.047,c,0.01,100%,1
2459922.6846785187,2022-12-09 04:25:56.224,b,0.03,100%; problematic moon?,3
2459932.765137777,2022-12-19 06:21:47.904,b,0.03,100%,3
2459934.81348351,2022-12-21 07:31:24.975,c,0.01,100%,1
