spc,Ra,e_gra,Dec,e_gdec,twomass,gaia,wise,Simbad_main_id,Simbad_otype,dist,dist_err,spt,spt_err,teff,teff_err,Known_Binary,G,G_err,I,I_err,J,J_err,H,H_err,K,K_err,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,mag_bp,mag_bp_err,mag_rp,mag_rp_err,Habs,e_Habs,Jabs,e_Jabs,Kabs,e_Kabs,Gabs,e_Gabs,BCj,BCj_err,L_bol,L_bol_err,radius,radius_err,mass,mass_err,SNR_TESS_temp,SNR_Spec_temp,SNR_TESS_HZ,SNR_Spec_HZ,SNR_JWST_HZ_tr,SNR_JWST_HZ_occ,SNR_JWST_temp_occ,cf,num_stars,min_dist_stars,avg_dist_stars,rel_flux_stars,program,plx,plx_err,pmra,pmdec,pmra_err,pmdec_err,bp_rp,co_move,spec_spt,spec_spt_ref,phot_spt,phot_spt_ref,Teff_Mg_P13,e_Teff_Mg_P13,Teff_Mg_h_P13,e_Teff_Mg_h_P13,Teff_Mj_P13,e_Teff_Mj_P13,Teff_Mk_P13,e_Teff_Mk_P13
Sp0000-1245,0.1193751,0.21751258411239435,-12.7542112,0.1750082182091633,00002867-1245153,2523085654797153280,J000028.55-124516.4,2MASS J00492677-0635467,low-mass*,31.3,0.3,6.6,1.0,2743.0,104.8,0,17.77,0.00,16.28,0.27,13.20,0.03,12.45,0.02,11.97,0.02,11.706999778747559,0.024000000208616257,11.496000289916992,0.020999999716877937,11.416000366210938,0.2370000034570694,8.98900032043457,nan,20.393234252929688,0.1518116456294691,16.11170196533203,0.011850448419456953,9.9737912385086,0.030389349603410217,10.7237912385086,0.03271868877502432,9.493791238508603,0.030389349603410217,15.295075341902155,0.019939773805004918,1.94,0.02,2.80e-4,1.22e-4,0.115,0.010,0.100,0.001,2.72,9.18,1.92,6.78,3.83,1.02,3.11,0.03,2,31.21,39.91,0.14,3,32.0,0.3,-142.6,-109.7,0.5,0.4,4.28,0.0,M9.2V,2014ApJ...794..143B,,,2603.750070084905,100.12911418345642,2321.4715256088493,150.80283712930398,2483.8440525729147,100.62700808274543,2694.325555713229,100.80916400472829
Sp0001+1535,0.3007107,1.3362546827660886,15.5932068,1.1233606977050734,00011217+1535355,5185492790179961216,J000112.27+153533.6,2MASS J02511490-0352459,brownD*,31.6,1.8,12.5,1.2,1891.0,116.1,0,20.80,0.01,19.38,0.09,15.52,0.06,14.51,0.05,13.71,0.04,12.96500015258789,0.024000000208616257,12.538999557495117,0.024000000208616257,11.67199993133545,0.2370000034570694,8.925999641418457,nan,21.45049476623535,0.332049629917934,19.08988380432129,0.06900194332502615,12.010444780748507,0.13459157413860393,13.020444780748509,0.13838313397882235,11.21044478074851,0.131308384631243,18.298563372057103,0.12442413383083342,1.83,0.10,1.10e-4,0.12e-4,0.088,0.010,0.072,0.006,0.66,4.3,0.47,3.04,2.42,1.33,4.02,0.17,3,38.62,42.84,7.23,3,31.6,1.8,143.5,-174.7,4.5,2.4,2.36,0.0,L4,2004AJ....127.3553K,L4,2004AJ....127.3553K,1687.1313006991113,105.41947984317919,1600.1811649419756,156.52085478967686,1735.5676690484133,108.42431675655197,1926.015208413286,115.19333643310401
Sp0002+0115,0.5259069,0.1230078070853623,1.2600395,0.05953081032718876,00020623+0115360,68553214259082240,J000206.54+011536.8,LSPM J0339+2457,PM*,20.8,0.1,6.5,1.0,2749.0,104.6,0,16.34,0.00,15.22,0.27,12.17,0.02,11.54,0.02,11.13,0.02,10.90999984741211,0.023000000044703484,10.678000450134277,0.020999999716877937,10.472000122070312,0.09600000083446503,8.95300006866455,nan,19.44929313659668,0.026227575813307185,14.804235458374023,0.005771575153984287,9.948639598941863,0.023850666766945194,10.578639598941866,0.02288786355093666,9.538639598941867,0.023850666766945194,14.745650936222138,0.006380007394850098,1.94,0.02,3.51e-4,0.71e-4,0.122,0.010,0.098,0.001,6.06,13.4,4.29,10.45,4.48,1.34,4.13,0.04,2,31.32,45.69,0.65,1,48.1,0.1,463.4,61.4,0.2,0.1,4.65,0.0,M6.5e,2006A&A...446..515P,,,2731.74672619591,100.00903143369868,2654.109079396954,150.62449341387645,2533.6917490037986,100.30949478596229,2675.4342349494545,100.5075593798364
Sp0004+5843,1.0314046,0.25443075644294705,58.7168180,0.24891736901769984,00040760+5843007,3197207916098620544,J000407.49+584259.9,SDSS J040921.85-060518.6,,35.2,0.5,7.4,1.1,2626.0,106.4,0,18.37,0.00,16.98,0.25,13.70,0.04,12.99,0.04,12.48,0.04,12.1850004196167,0.02800000086426735,11.916999816894531,0.026000000536441803,11.552000045776367,0.1469999998807907,8.803000450134277,nan,20.8463134765625,0.21974261122170646,16.681629180908203,0.005755476816898107,10.256571201632397,0.05163358852999393,10.966571201632394,0.05163358852999393,9.746571201632396,0.04518879672361885,15.637258686373606,0.02877465467456717,1.96,0.01,5.40e-4,2.46e-4,0.112,0.010,0.093,0.001,2.02,6.36,1.43,4.5,3.19,0.87,2.66,1.79,47,6.46,54.50,542.39,3,28.4,0.4,-69.9,-55.9,0.5,0.4,4.16,0.0,,,,,2512.1222925748443,100.32429784389521,2281.1875654879163,152.86137033382272,2400.904451101528,101.53260415241672,2585.9513538959,101.93242049782535
Sp0004-1709,1.2398172,0.10124375780125307,-17.1602658,0.06071909936854382,00045753-1709369,3048443305671969152,J000457.65-170937.0,2MASS J07200325-0846499,low-mass*,17.0,0.0,5.0,0.9,2985.0,104.3,0,14.60,0.00,13.59,0.30,11.00,0.02,10.46,0.02,10.08,0.02,9.890000343322754,0.023000000044703484,9.701000213623047,0.019999999552965164,9.486000061035156,0.04100000113248825,8.196000099182129,nan,16.971298217773438,0.010907233155228844,13.200804710388184,0.002932909415213719,9.302320745171581,0.021481606622229626,9.84232074517158,0.022460174302933122,8.92232074517158,0.021481606622229626,13.44710761803535,0.004565593116717335,1.90,0.03,3.25e-4,0.09e-4,0.149,0.020,0.121,0.001,10.02,10.62,7.08,10.42,3.8,1.3,4.07,0.00,0,92.91,nan,0.00,2,58.7,0.1,145.1,-8.5,0.2,0.1,3.77,0.0,M5.5V,2012AJ....144...99D,,,2943.5027730814472,100.00160552063271,3010.5193438650363,150.36393968058994,2788.5148126434733,100.30382665592977,2918.6947831276266,100.30207183135674
Sp0004-2058,1.1730139,0.1510874923425894,-20.9749664,0.09991146548393985,00044144-2058298,583370740503160704,J000442.04-205828.9,LSPM J0903+0540,low-mass*,15.1,0.0,9.4,1.1,2329.0,104.5,0,16.87,0.00,16.02,0.14,12.40,0.02,11.83,0.02,11.40,0.02,11.055999755859375,0.023000000044703484,10.744999885559082,0.019999999552965164,10.27299976348877,0.06700000166893005,8.925999641418457,nan,20.483932495117188,0.0988222107802325,15.24854850769043,0.005364601442922812,10.938698991526403,0.019721714477577784,11.508698991526403,0.022626224605662812,10.508698991526403,0.02359970438813737,15.978114274729528,0.005481096014237287,1.96,0.01,7.76e-4,1.43e-4,0.110,0.010,0.079,0.000,2.76,14.16,1.95,10.01,4.57,1.83,5.6,0.22,6,29.95,37.75,40.93,1,66.3,0.2,758.2,85.2,0.3,0.2,5.24,0.0,M7.0,2019ApJ...883..205B,M9,2018A&A...619L...8R,2412.8923716191493,100.01364130964824,2505.421912868108,150.48192556151977,2218.19798339401,100.28393055620707,2241.696548942986,100.58254382286809
Sp0004-4044,1.1461910,0.2284719177158695,-40.7351291,0.2395404169126596,00043484-4044058,5674971525503692160,J000435.49-404422.3,GPM 140.762367-23.011610,brownD*,12.2,0.1,11.4,1.1,2041.0,104.7,1,18.35,0.00,16.91,0.07,13.11,0.02,12.05,0.03,11.40,0.03,10.736000061035156,0.02199999988079071,10.463000297546387,0.019999999552965164,9.803000450134277,0.04800000041723251,8.652000427246094,nan,21.349939346313477,0.15762911451339973,16.638212203979492,0.012609314173831973,11.621567457383003,0.027844250935500095,12.681567457383002,0.025986579079934784,10.971567457383003,0.027844250935500095,17.924634855454293,0.010400077132139243,1.91,0.06,6.82e-4,1.25e-4,0.086,0.010,0.074,0.000,2.13,15.98,1.51,11.3,6.52,3.34,10.12,0.38,6,18.34,18.48,173.98,1,82.1,0.4,671.1,-1498.2,0.4,0.5,4.71,0.0,L5+L5,2008AJ....136.1290R,,,1792.715470530704,100.04722338258951,1587.930826480217,151.5294643870932,1839.5642322344202,100.3257596150641,2031.5273097904937,100.77253711399746
Sp0005+0217,1.2576252,0.1881595904789244,2.2866248,0.14387610563224112,00050184+0217120,3864972728150826368,J000502.05+021714.2,Wolf  359,PM*,39.1,0.3,7.0,1.1,2690.0,105.4,0,17.83,0.00,16.87,0.27,13.69,0.03,13.06,0.04,12.68,0.02,12.449999809265137,0.023000000044703484,12.227999687194824,0.023000000044703484,11.319000244140625,0.16899999976158142,8.980999946594238,nan,20.655019760131836,0.14607802679428447,16.264020919799805,0.008128599560637871,10.100888546586635,0.039770671684435904,10.730888546586634,0.03460789313728023,9.720888546586634,0.029760818501122225,14.868641613603236,0.01896205012027372,1.95,0.02,11.36e-4,0.39e-4,0.119,0.010,0.093,0.001,1.9,5.89,1.34,4.45,2.76,0.72,2.2,0.01,2,39.44,49.75,0.04,3,25.6,0.2,320.9,217.7,0.4,0.3,4.39,0.0,,,M7.5,2018A&A...619L...8R,2705.221187162824,100.08752083245318,2671.4610251907898,151.42219237190986,2481.411352490464,100.70098629345979,2597.1584213562383,100.83673485019081
Sp0005-2157,1.4521622,0.14749522601492163,-21.9554899,0.10259195991705251,00054844-2157196,1237730036207891072,J000549.00-215721.0,Gaia DR2 1237730036207891072,low-mass*,25.4,0.1,8.4,1.1,2479.0,104.7,0,17.63,0.00,16.75,0.19,13.27,0.03,12.62,0.02,12.20,0.03,11.890999794006348,0.023000000044703484,11.62399959564209,0.02199999988079071,11.312000274658203,0.1679999977350235,8.829999923706055,nan,21.06731605529785,0.14224060865217086,16.014667510986328,0.006561993504031647,10.599536337753763,0.025635178293460695,11.249536337753764,0.026573715862678853,10.179536337753763,0.03132351059333553,15.605736060043803,0.009163682479498086,1.96,0.00,2.17e-4,0.10e-4,0.110,0.010,0.084,0.001,2.17,8.51,1.54,6.02,3.57,1.12,3.42,0.07,4,13.05,46.32,0.20,3,39.4,0.2,710.8,-124.8,0.3,0.2,5.05,0.0,M8.7V,2014ApJ...794..143B,,,2520.917777639668,100.03242663077448,2526.315714985478,150.75550360632388,2305.0595436037656,100.40008315034387,2392.2284068336303,101.01083484834277
Sp0006+0439,1.6092862,0.1196001627000292,4.6532415,0.09151577873071469,00062623+0439115,6281432379554902656,J000626.45+043909.1,SSSPM J1444-2019,PM*,27.3,0.1,7.2,1.1,2658.0,104.8,0,17.02,0.00,16.19,0.26,12.96,0.03,12.35,0.03,12.01,0.02,11.784000396728516,0.024000000208616257,11.548999786376953,0.023000000044703484,10.98900032043457,0.13300000131130219,8.822999954223633,nan,20.31740379333496,0.04798846021195131,15.486954689025879,0.003333752290210883,10.17192470447923,0.027770148028244214,10.78192470447923,0.027770148028244214,9.83192470447923,0.025907163172165387,14.838491934703839,0.009802989490775443,1.95,0.02,3.28e-4,0.55e-4,0.119,0.010,0.091,0.001,2.69,9.88,1.9,7.4,3.5,0.98,3.01,0.00,1,48.42,48.42,0.01,3,36.7,0.2,323.0,-233.8,0.4,0.2,4.83,0.0,,,M7.5,2018A&A...619L...8R,2711.8377782281896,100.02287999744507,2730.482918367356,150.74606377003818,2463.9315963863864,100.45067162711672,2548.4309681704763,100.65328850411412
