Sp_ID 2MASS_ID Gaia_ID RA DEC G I J H K Dis e_Dis M e_M R e_R T_eff e_Teff SpT e_Spt SNR_TESS_temp SNR_Spec_temp SNR_TESS_HZ SNR_Spec_HZ SNR_JWST_HZ_tr SNR_JWST_HZ_occ SNR_JWST_temp_occ Program
Sp0049-0635 00000000-0000000 0000000000000000000 12.3615417 -6.5963083 50.00 16.39 13.34 50.00 12.10 21.7400 4.7300 0.08 0.01 0.10 0.03 2395. 145. 9.0 1.0 1.64 10.06 1.16 7.11 4.39 1.51 4.58 3
Sp0205+1251 00000000-0000000 0000000000000000000 31.2643333 12.8616722 50.00 19.38 15.68 50.00 13.67 24.0000 3.0000 0.06 0.01 0.10 0.02 1581. 106. 15.0 1.0 0.56 3.31 0.40 2.34 2.00 1.72 5.20 3
Sp0251-0352 00000000-0000000 0000000000000000000 42.8086667 -3.8791833 50.00 16.58 13.06 50.00 11.66 12.0000 1.0000 0.07 0.01 0.11 0.02 1822. 132. 13.0 1.0 1.29 9.73 0.91 6.88 3.74 2.50 7.65 3
Sp0251-0352 00000000-0000000 0000000000000000000 42.8120833 -3.8794278 50.00 16.58 13.06 50.00 11.66 11.0400 0.3700 0.07 0.01 0.11 0.02 1822. 132. 13.0 1.0 1.52 11.50 1.07 8.13 4.25 2.82 8.57 3
Sp0310-2756 00000000-0000000 0000000000000000000 47.5583750 -27.9458389 50.00 19.50 15.80 50.00 13.96 20.0000 7.2000 0.06 0.01 0.08 0.04 1581. 106. 15.0 1.0 0.87 5.14 0.62 3.64 2.44 2.08 6.24 3
Sp0339+2457 00000000-0000000 0000000000000000000 54.9701667 24.9575083 50.00 15.30 12.84 50.00 11.74 19.2700 1.9300 0.08 0.00 0.10 0.02 2539. 144. 8.0 1.0 3.78 14.98 2.67 10.59 5.15 1.56 4.75 1
Sp0409-0605 00000000-0000000 0000000000000000000 62.3410417 -6.0885167 50.00 14.89 12.74 50.00 11.84 22.7300 5.1700 0.09 0.01 0.10 0.03 2683. 146. 7.0 1.0 3.94 13.28 2.78 9.39 4.41 1.23 3.76 3
Sp0421-6306 00000000-0000000 0000000000000000000 65.2799167 -63.1005611 50.00 19.26 15.56 50.00 13.44 16.6700 1.9400 0.06 0.01 0.07 0.01 1581. 106. 15.0 1.0 1.07 6.36 0.76 4.50 3.39 2.90 8.69 3
Sp0512-2949 00000000-0000000 0000000000000000000 78.0265000 -29.8316667 50.00 19.18 15.46 50.00 13.28 23.0000 3.0000 0.06 0.01 0.10 0.02 1636. 113. 14.5 1.0 0.61 3.75 0.43 2.65 2.50 1.98 5.99 3
Sp0720-0846 00000000-0000000 0000000000000000000 110.0135417 -8.7803028 50.00 13.68 10.63 50.00 9.47 6.7200 0.0500 0.08 0.00 0.10 0.02 2395. 145. 9.0 1.0 14.73 24.67 10.42 17.45 7.37 3.91 12.13 1
Sp0852+2540 00000000-0000000 0000000000000000000 133.1026667 25.6830583 50.00 14.34 12.19 50.00 11.19 21.0000 3.0000 0.10 0.01 0.12 0.02 2683. 146. 7.0 1.0 4.69 11.87 3.32 8.39 3.99 1.24 3.83 3
Sp0903+0540 00000000-0000000 0000000000000000000 135.8373333 5.6705694 50.00 12.92 10.77 50.00 9.84 11.0000 1.0000 0.10 0.01 0.13 0.02 2683. 146. 7.0 1.0 13.52 15.49 9.56 10.95 5.11 2.12 6.59 1
Sp0923-2300 00000000-0000000 0000000000000000000 140.7623333 -23.0114028 50.00 13.36 10.90 50.00 10.35 11.0000 1.0000 0.08 0.00 0.13 0.02 2539. 144. 8.0 1.0 9.79 14.03 6.92 9.92 4.21 1.72 5.35 2
Sp0923+2340 00000000-0000000 0000000000000000000 140.7858750 23.6708389 50.00 17.29 13.85 50.00 12.81 20.0000 5.2000 0.07 0.01 0.09 0.03 2102. 145. 11.0 1.0 1.02 7.62 0.72 5.39 3.44 1.52 4.60 3
Sp1056+0700 00000000-0000000 0000000000000000000 164.1207917 7.0144444 50.00 9.02 7.09 50.00 6.09 2.4200 0.0100 0.11 0.00 0.13 0.02 2831. 154. 6.0 1.0 134.96 15.24 95.43 10.78 5.66 3.90 12.79 1
Sp1239+5515 00000000-0000000 0000000000000000000 189.8636250 55.2602806 50.00 18.41 14.71 50.00 12.79 23.5800 1.1700 0.06 0.01 0.15 0.03 1581. 106. 15.0 1.0 0.31 1.95 0.22 1.38 1.56 1.39 4.29 3
Sp1256-1257 00000000-0000000 0000000000000000000 194.0089583 -12.9558528 50.00 13.33 11.02 50.00 10.05 15.6200 4.3900 0.11 0.03 0.17 0.06 2611. 144. 7.5 1.0 6.07 8.50 4.29 6.01 2.83 1.24 3.91 2
Sp1326-2729 00000000-0000000 0000000000000000000 201.5837083 -27.4936111 50.00 19.55 15.85 50.00 13.85 18.5200 5.4900 0.06 0.01 0.07 0.03 1581. 106. 15.0 1.0 1.05 6.19 0.74 4.38 2.93 2.50 7.48 3
Sp1332-0441 00000000-0000000 0000000000000000000 203.1017500 -4.6866833 50.00 14.68 12.37 50.00 11.28 21.0000 2.0000 0.09 0.01 0.12 0.02 2611. 144. 7.5 1.0 3.52 11.38 2.49 8.04 4.00 1.27 3.91 3
Sp1400+4739 00000000-0000000 0000000000000000000 210.1109167 47.6663917 50.00 14.39 12.24 50.00 11.50 22.0000 3.0000 0.09 0.01 0.13 0.02 2683. 146. 7.0 1.0 4.21 11.07 2.98 7.83 3.55 1.06 3.27 3
Sp1429+4650 00000000-0000000 0000000000000000000 217.3783333 46.8411278 50.00 15.09 12.63 50.00 11.76 22.0000 3.0000 0.09 0.01 0.12 0.02 2539. 144. 8.0 1.0 2.71 10.37 1.92 7.33 3.55 1.10 3.39 3
Sp1439+1929 00000000-0000000 0000000000000000000 219.8681667 19.4872472 50.00 16.20 12.76 50.00 11.55 14.3700 0.1000 0.08 0.00 0.11 0.02 2102. 145. 11.0 1.0 1.79 11.91 1.27 8.42 4.19 2.05 6.27 3
Sp1444-2019 00000000-0000000 0000000000000000000 221.0861250 -20.3227833 50.00 15.60 12.55 50.00 11.94 16.3400 1.3600 0.07 0.00 0.11 0.02 2395. 145. 9.0 1.0 2.87 14.30 2.03 10.11 4.17 1.47 4.48 3
Sp1446+0024 00000000-0000000 0000000000000000000 221.5025417 0.4141917 50.00 19.83 15.89 50.00 13.93 21.4100 6.6900 0.06 0.01 0.10 0.04 1483. 90. 16.0 1.0 0.58 3.32 0.41 2.35 1.87 1.89 5.71 3
Sp1512-1032 00000000-0000000 0000000000000000000 228.1387083 -10.5448472 50.00 15.62 13.16 50.00 12.02 23.2600 5.9500 0.08 0.01 0.10 0.03 2539. 144. 8.0 1.0 2.95 11.15 2.08 7.89 4.37 1.29 3.94 3
Sp1515+4847 00000000-0000000 0000000000000000000 228.7534583 48.7947389 50.00 18.05 14.11 50.00 12.50 11.0000 1.0000 0.06 0.01 0.11 0.02 1483. 90. 16.0 1.0 0.72 4.75 0.51 3.36 2.77 2.90 8.81 3
Sp1555+0954 00000000-0000000 0000000000000000000 238.8604583 9.9025250 50.00 14.98 12.52 50.00 11.79 22.0000 3.0000 0.09 0.01 0.13 0.03 2539. 144. 8.0 1.0 2.64 9.85 1.87 6.96 3.24 1.01 3.12 3
Sp1743+5844 00000000-0000000 0000000000000000000 265.8953333 58.7363889 50.00 17.45 14.01 50.00 12.68 24.3900 3.5700 0.08 0.00 0.11 0.02 2102. 145. 11.0 1.0 0.73 5.42 0.52 3.83 2.98 1.33 4.05 3
Sp1756-4518 00000000-0000000 0000000000000000000 269.1234583 -45.3061222 50.00 15.44 12.39 50.00 11.26 17.5400 2.7700 0.09 0.01 0.12 0.03 2395. 145. 9.0 1.0 2.33 11.58 1.65 8.19 4.02 1.56 4.80 3
Sp2151-1141 00000000-0000000 0000000000000000000 327.7921250 -11.6883667 50.00 14.25 12.10 50.00 11.08 20.0000 2.0000 0.10 0.01 0.12 0.02 2683. 146. 7.0 1.0 5.37 12.55 3.79 8.87 4.15 1.31 4.05 2
Sp2158-1550 00000000-0000000 0000000000000000000 329.5190417 -15.8358556 50.00 18.77 15.04 50.00 13.18 15.6200 3.4200 0.07 0.01 0.07 0.02 1695. 120. 14.0 1.0 1.17 7.62 0.83 5.39 3.91 2.82 8.47 3
Sp2249+3205 00000000-0000000 0000000000000000000 342.2882083 32.0966917 50.00 19.18 15.48 50.00 13.59 15.6200 3.4200 0.06 0.01 0.07 0.02 1581. 106. 15.0 1.0 1.16 6.90 0.82 4.88 3.29 2.81 8.42 3
Sp2351+3010 00000000-0000000 0000000000000000000 357.8416667 30.1816667 50.00 19.67 15.85 50.00 14.02 18.5200 4.8000 0.06 0.01 0.08 0.03 1530. 98. 15.5 1.0 0.89 5.15 0.63 3.64 2.40 2.23 6.68 3
Sp0126+1419 00000000-0000000 0000000000000000000 21.6188333 14.3225167 50.00 14.81 12.66 50.00 11.68 27.7800 9.2600 0.10 0.02 0.13 0.06 2683. 146. 7.0 1.0 2.60 8.53 1.84 6.03 3.12 0.91 2.80 3
Sp0127-3140 00000000-0000000 0000000000000000000 21.8831667 -31.6675056 50.00 14.81 12.66 50.00 11.66 25.1800 2.5300 0.10 0.01 0.12 0.02 2683. 146. 7.0 1.0 3.17 10.39 2.24 7.35 3.70 1.07 3.29 3
Sp0247+2850 00000000-0000000 0000000000000000000 41.9570417 28.8488917 50.00 15.54 13.08 50.00 12.18 35.7100 15.3100 0.10 0.03 0.16 NaN 2539. 144. 8.0 1.0 1.21 4.72 0.85 3.34 1.94 0.59 1.83 3
Sp0445-5321 00000000-0000000 0000000000000000000 71.4307083 -53.3594611 50.00 15.16 12.85 50.00 11.85 25.6400 3.9400 0.09 0.01 0.12 0.03 2611. 144. 7.5 1.0 2.58 9.65 1.82 6.83 3.50 1.03 3.16 3
Sp0530+6253 00000000-0000000 0000000000000000000 82.5525417 62.8902889 50.00 17.49 14.05 50.00 12.71 27.7800 7.7200 0.08 0.01 0.12 0.04 2102. 145. 11.0 1.0 0.58 4.25 0.41 3.00 2.48 1.11 3.40 3
Sp0828+2853 00000000-0000000 0000000000000000000 127.0823333 28.8858417 50.00 14.81 12.66 50.00 11.72 26.0000 3.0000 0.10 0.01 0.12 0.02 2683. 146. 7.0 1.0 2.97 9.74 2.10 6.89 3.45 0.99 3.06 3
Sp0951-6317 00000000-0000000 0000000000000000000 147.7965833 -63.2997417 50.00 14.45 12.14 50.00 11.04 23.8100 3.4000 0.11 0.01 0.15 0.03 2611. 144. 7.5 1.0 2.78 7.97 1.96 5.64 2.83 0.97 3.02 3
Sp1009+3324 00000000-0000000 0000000000000000000 152.2832083 33.4122361 50.00 14.83 12.68 50.00 11.85 30.3000 9.1800 0.10 0.02 0.14 0.06 2683. 146. 7.0 1.0 2.19 7.25 1.55 5.12 2.61 0.75 2.33 3
Sp1115+2902 00000000-0000000 0000000000000000000 168.8246667 29.0347361 50.00 14.87 12.72 50.00 11.75 27.0000 3.0000 0.10 0.01 0.13 0.02 2683. 146. 7.0 1.0 2.78 9.32 1.97 6.59 3.36 0.96 2.97 3
Sp1128+0141 00000000-0000000 0000000000000000000 172.0292500 1.6916806 50.00 13.47 11.54 50.00 10.63 19.0000 2.0000 0.11 0.01 0.13 0.02 2831. 154. 6.0 1.0 8.83 12.53 6.25 8.86 4.21 1.35 4.19 2
Sp1144+6043 00000000-0000000 0000000000000000000 176.0210833 60.7300250 50.00 14.23 12.30 50.00 11.30 26.0000 3.0000 0.11 0.01 0.13 0.02 2831. 154. 6.0 1.0 5.05 11.08 3.57 7.83 3.83 1.07 3.31 2
Sp1155+0559 00000000-0000000 0000000000000000000 178.9745417 5.9991861 50.00 19.60 15.66 50.00 14.12 17.2700 3.0400 0.06 0.01 0.09 0.02 1483. 90. 16.0 1.0 0.76 4.41 0.54 3.12 2.00 2.01 6.05 3
Sp1158+3953 00000000-0000000 0000000000000000000 179.6393750 39.8850111 50.00 15.39 12.93 50.00 11.92 25.0000 3.0000 0.09 0.01 0.12 0.02 2539. 144. 8.0 1.0 2.32 9.32 1.64 6.59 3.41 1.04 3.18 3
Sp1213+3900 00000000-0000000 0000000000000000000 183.3463750 39.0144694 50.00 14.88 12.73 50.00 11.82 27.0000 3.0000 0.09 0.01 0.12 0.02 2683. 146. 7.0 1.0 2.78 9.37 1.97 6.62 3.31 0.94 2.91 3
Sp1221+0857 00000000-0000000 0000000000000000000 185.2649583 8.9558528 50.00 14.39 12.24 50.00 11.22 27.0300 5.8400 0.11 0.02 0.16 0.04 2683. 146. 7.0 1.0 2.79 7.34 1.97 5.19 2.64 0.85 2.63 3
Sp1232-0951 00000000-0000000 0000000000000000000 188.0761250 -9.8638944 50.00 17.00 13.73 50.00 12.56 27.0000 3.0000 0.08 0.00 0.12 0.02 2249. 146. 10.0 1.0 0.75 5.42 0.53 3.83 2.80 1.10 3.35 3
Sp1312+1731 00000000-0000000 0000000000000000000 198.0808750 17.5175250 50.00 16.98 13.93 50.00 12.96 28.0000 3.0000 0.08 0.00 0.10 0.02 2395. 145. 9.0 1.0 1.04 7.08 0.74 5.01 3.24 1.06 3.22 3
Sp1331-0116 00000000-0000000 0000000000000000000 202.9539167 -1.2805556 50.00 19.40 15.46 50.00 14.07 14.8600 2.7800 0.06 0.01 0.08 0.02 1483. 90. 16.0 1.0 0.90 5.26 0.64 3.72 2.21 2.22 6.69 3
Sp1350+2650 00000000-0000000 0000000000000000000 207.6208333 26.8450111 50.00 14.69 12.54 50.00 11.63 25.0000 3.0000 0.10 0.01 0.13 0.02 2683. 146. 7.0 1.0 3.18 9.92 2.25 7.01 3.46 1.01 3.11 3
Sp1409-0153 00000000-0000000 0000000000000000000 212.4444583 -1.8866889 50.00 14.84 12.69 50.00 11.78 32.2600 11.4500 0.11 0.03 0.15 0.07 2683. 146. 7.0 1.0 1.94 6.43 1.37 4.54 2.40 0.70 2.18 3
Sp1510-1147 00000000-0000000 0000000000000000000 227.5940000 -11.7866806 50.00 19.36 15.66 50.00 14.26 28.0000 3.0000 0.06 0.01 0.12 0.02 1581. 106. 15.0 1.0 0.41 2.40 0.29 1.70 1.23 1.05 3.19 3
Sp1627-2425 00000000-0000000 0000000000000000000 246.8607500 -24.4316750 50.00 15.46 13.00 50.00 11.84 25.0000 3.0000 0.09 0.01 0.12 0.02 2539. 144. 8.0 1.0 2.38 9.67 1.69 6.83 3.67 1.12 3.44 3
Sp1718-4637 00000000-0000000 0000000000000000000 259.7295417 -46.6274139 50.00 14.62 12.47 50.00 11.97 26.0000 3.0000 0.09 0.01 0.14 0.02 2683. 146. 7.0 1.0 2.93 8.86 2.07 6.26 2.79 0.79 2.45 3
Sp2132+1341 00000000-0000000 0000000000000000000 323.0477083 13.6995583 50.00 20.14 16.20 50.00 14.26 33.3300 9.1100 0.06 0.01 0.13 0.05 1483. 90. 16.0 1.0 0.30 1.68 0.21 1.19 1.06 1.07 3.28 3
Sp2206-2047 00000000-0000000 0000000000000000000 331.5950000 -20.7847444 50.00 15.55 13.09 50.00 12.03 27.9000 0.8000 0.09 0.00 0.12 0.02 2539. 144. 8.0 1.0 1.99 7.74 1.40 5.47 3.09 0.93 2.86 3
Sp2338-2029 00000000-0000000 0000000000000000000 354.6775833 -20.4941667 50.00 14.85 12.70 50.00 11.73 27.0000 3.0000 0.10 0.01 0.13 0.02 2683. 146. 7.0 1.0 2.77 9.22 1.96 6.52 3.32 0.96 2.95 3
Sp0000-1245 00002867-1245153 2421137424841635840 0.1193751 -12.7542112 17.77 15.26 13.20 12.45 11.97 31.2782 0.2861 0.10 0.00 0.11 0.01 2743. 105. 6.6 1.0 2.72 9.18 1.92 6.78 3.83 1.02 3.11 3
Sp0000-0533 00003477-0533070 2443091236074493824 0.1449558 -5.5520516 11.35 10.23 9.00 8.39 8.17 27.9850 0.0565 0.45 0.01 0.45 0.05 3616. 106. 2.3 0.5 5.07 0.98 3.59 2.14 0.47 0.21 0.78 2
Sp0000+1829 00003925+1829198 2774087391866252928 0.1636266 18.4888533 10.41 9.56 8.44 7.79 7.64 33.6406 0.0547 0.60 0.02 0.60 0.07 3999. 105. 1.3 0.3 3.68 0.49 3.03 1.46 0.26 0.11 0.43 3
Sp0000+5503 00004555+5503024 420475344077664384 0.1895627 55.0506512 14.99 13.18 11.78 11.25 10.95 36.7305 0.0828 0.17 0.01 0.20 0.02 3157. 104. 4.1 0.8 3.88 5.05 2.74 6.30 1.82 0.50 1.58 3
Sp0000-3510 00004688-3510060 2312615691603492224 0.1956134 -35.1683433 11.42 10.29 9.12 8.48 8.28 38.9525 0.1014 0.55 0.02 0.54 0.06 3819. 106. 1.7 0.4 3.05 0.62 2.22 1.64 0.32 0.14 0.50 3
Sp0000+0954 00005600+0954372 2765222716806496256 0.2334100 9.9103671 14.20 12.52 11.18 10.55 10.28 38.9117 0.1173 0.25 0.01 0.27 0.03 3231. 104. 3.7 0.7 3.26 2.88 2.31 4.22 1.15 0.38 1.21 3
