Sp_ID, 2MASS_ID, Gaia_ID, RA, DEC, G, I, J, H, K, Dis, e_Dis, M, e_M, R, e_R,  T_eff, e_Teff, SpT, e_Spt, SNR_TESS_temp, SNR_Spec_temp, SNR_TESS_HZ, SNR_Spec_HZ, SNR_JWST_HZ_tr,  SNR_JWST_HZ_occ, SNR_JWST_temp_occ
Sp1256-1257  00000000-0000000 0000000000000000000 194.0089583 -12.9558528 50.00 13.33 11.02 50.00 10.05 15.6200  4.3900 0.11 0.03 0.17 0.06 2611.  144.  7.5  1.0   6.07  8.50  4.29  6.01  2.83  1.24  3.91
Sp1144+6043  00000000-0000000 0000000000000000000 176.0210833  60.7300250 50.00 14.23 12.30 50.00 11.30 26.0000  3.0000 0.11 0.01 0.13 0.02 2831.  154.  6.0  1.0   5.05 11.08  3.57  7.83  3.83  1.07  3.31
Sp0004-1709  00045753-1709369 2414623952318068224   1.2398172 -17.1602658 14.60 12.77 11.00 10.46 10.08 17.0426  0.0355 0.12 0.00 0.14 0.02 2985.  104.  5.0  0.9  10.02 10.62  7.08 10.42  3.80  1.30  4.07
Sp0019+0450  00192745+0450297 2741250786341356288   4.8645149   4.8416454 15.34 13.80 11.98 11.40 11.09 24.7101  0.0741 0.11 0.00 0.14 0.02 2940.  105.  5.3  0.9   6.66 10.57  4.71  9.90  3.50  0.97  3.02
Sp0034+4050  00343787+4050022 381017479521263360    8.6578953  40.8339243 15.35 13.65 11.77 11.21 10.88 20.9763  0.0504 0.11 0.00 0.13 0.02 2882.  104.  5.7  1.0   7.79 11.73  5.51 10.49  3.92  1.17  3.61
Sp0045-3604  00455585-3604565 5001224335106301824  11.4826904 -36.0823908 15.36 13.77 11.94 11.39 11.06 24.3541  0.0706 0.11 0.00 0.14 0.02 2935.  104.  5.3  0.9   6.67 10.49  4.72  9.84  3.48  0.98  3.04
Sp0050-2008  00500971-2008427 2356590216775021696  12.5405662 -20.1452616 15.49 13.99 12.18 11.61 11.35 27.6419  0.0653 0.11 0.00 0.14 0.02 2951.  104.  5.2  0.9   6.00  9.68  4.24  9.22  3.21  0.85  2.64
Sp0051+1844  00512228+1844120 2788907296779605376  12.8429325  18.7364925 15.33 13.29 11.51 11.05 10.79 22.3215  0.0694 0.12 0.00 0.15  NaN 2983.  297.  5.0  1.8   6.89  9.35  4.87  9.51  3.19  0.94  2.93
Sp0052+6724  00522625+6724083 526331891194068736   13.1083732  67.4023238 15.71 13.88 12.07 11.49 11.17 26.2921  0.0654 0.11 0.00 0.14 0.02 2955.  105.  5.2  0.9   6.28 10.09  4.44  9.55  3.37  0.92  2.84
Sp0103-5351  01031199-5351433 4926974486681928192  15.7997247 -53.8620382 16.17 14.07 12.21 11.55 11.20 25.3584  0.0525 0.11 0.00 0.13 0.02 2909.  104.  5.5  1.0   6.19 11.13  4.38  9.81  3.81  1.04  3.22
