soi,spc,twomass,gaia,wise,starname,ra,dc,pm_ra,pm_dc,dist,dist_error,spt,spt_error,binary,mag_g,mag_i,mag_j,mag_h,mag_ks,teff,teff_error,SNR_TESS_temp,SNR_Spec_temp,SNR_TESS_HZ,SNR_Spec_HZ,SNR_JWST_HZ_tr,SNR_JWST_HZ_occ,SNR_JWST_temp_occ,program,cf
1011,Sp0000-1245,00002867-1245153,2421137424841635840,J000028.55-124516.4,DENIS J000028.6-124514,0.1193751,-12.7542112,-142.649,-109.722,31.3,0.3,6.60,1.00,0.0,17.771,15.260,13.200,12.450,11.970,2743.0,104.8,2.72,9.18,1.92,6.78,3.83,1.02,3.11,3.0,0.03
1012,Sp0001+1535,00011217+1535355,2772182900286956160,J000112.27+153533.6,2MASS J00011217+1535355,0.3007107,15.5932068,143.485,-174.725,31.6,1.8,12.50,1.20,0.0,20.798,18.980,15.520,14.510,13.710,1891.0,116.1,0.66,4.3,0.47,3.04,2.42,1.33,4.02,3.0,0.17
1,Sp0002+0115,00020623+0115360,2738415592529108096,J000206.54+011536.8,LP  584-4,0.5259069,1.2600395,463.376,61.406,20.8,0.1,6.50,1.00,0.0,16.337,14.220,12.170,11.540,11.130,2749.0,104.6,6.06,13.4,4.29,10.45,4.48,1.34,4.13,1.0,0.04
1013,Sp0004+5843,00040760+5843007,423130041883475968,J000407.49+584259.9,,1.0314046,58.7168180,-69.913,-55.894,35.2,0.5,7.40,1.10,0.0,18.371,15.970,13.700,12.990,12.480,2626.0,106.4,2.02,6.36,1.43,4.5,3.19,0.87,2.66,3.0,1.79
1014,Sp0004-1709,00045753-1709369,2414623952318068224,J000457.65-170937.0,2MASS J00045753-1709369,1.2398172,-17.1602658,145.142,-8.497,17.0,0.0,5.00,0.90,0.0,14.605,12.770,11.000,10.460,10.080,2985.0,104.3,10.02,10.62,7.08,10.42,3.8,1.3,4.07,2.0,0.00
2,Sp0004-2058,00044144-2058298,2340736324254735488,J000442.04-205828.9,2MASS J00044144-2058298,1.1730139,-20.9749664,758.229,85.199,15.1,0.0,9.40,1.10,0.0,16.869,15.550,12.400,11.830,11.400,2329.0,104.5,2.76,14.16,1.95,10.01,4.57,1.83,5.6,1.0,0.22
1015,Sp0004-4044,00043484-4044058,4996141155411984128,J000435.49-404422.3,L  362-29 B,1.1461910,-40.7351291,671.088,-1498.160,12.2,0.1,11.40,1.10,1.0,18.353,16.530,13.110,12.050,11.400,2041.0,104.7,2.13,15.98,1.51,11.3,6.52,3.34,10.12,1.0,0.38
1016,Sp0005+0217,00050184+0217120,2739077223651402240,J000502.05+021714.2,WISEA J000502.05+021714.2,1.2576252,2.2866248,320.940,217.721,39.1,0.3,7.00,1.10,0.0,17.828,15.830,13.690,13.060,12.680,2690.0,105.4,1.9,5.89,1.34,4.45,2.76,0.72,2.2,3.0,0.01
3,Sp0005-2157,00054844-2157196,2340605825968413184,J000549.00-215721.0,SSSPM J0006-2157,1.4521622,-21.9554899,710.803,-124.806,25.4,0.1,8.40,1.10,0.0,17.626,15.980,13.270,12.620,12.200,2479.0,104.7,2.17,8.51,1.54,6.02,3.57,1.12,3.42,3.0,0.07
4,Sp0006+0439,00062623+0439115,2741783362285662592,J000626.45+043909.1,LSPM J0006+0439,1.6092862,4.6532415,323.014,-233.844,27.3,0.1,7.20,1.10,0.0,17.017,15.160,12.960,12.350,12.010,2658.0,104.8,2.69,9.88,1.9,7.4,3.5,0.98,3.01,3.0,0.00
1017,Sp0006-0732,00064325-0732147,2441630500517079808,,G 158-27,1.6799580,-7.5380623,-811.480,-1892.905,4.8,0.0,5.20,0.90,0.0,11.780,10.120,8.320,7.790,7.440,2964.0,104.7,67.44,11.71,47.68,11.33,4.56,2.72,8.85,1.0,0.00
5,Sp0007-2458,00070787-2458042,2336406413104712320,J000708.03-245805.0,LEHPM 193,1.7829665,-24.9678772,188.539,-60.432,30.7,0.2,6.70,1.10,0.0,17.344,15.200,13.120,12.450,12.060,2726.0,104.7,2.64,9.15,1.87,6.94,3.53,0.95,2.9,3.0,0.04
1018,Sp0008+2911,00085931+2911521,2860297040582153600,J000859.24+291149.8,2MASS J00085931+2911521,2.2470473,29.1977456,-71.841,-188.084,38.5,0.4,7.20,1.10,0.0,18.213,16.050,13.830,13.130,12.690,2648.0,105.1,1.78,5.82,1.26,4.17,2.9,0.77,2.36,3.0,0.17
6,Sp0008+4918,00085512+4918561,393621524910343296,J000855.55+491858.4,LP  191-43,2.2306785,49.3156445,352.853,202.298,14.8,0.0,5.40,1.00,0.0,14.409,12.700,10.860,10.320,9.980,2927.0,104.4,11.97,12.01,8.46,11.22,4.24,1.52,4.76,1.0,0.10
7,Sp0008+5453,00083459+5453428,420235478744248192,J000834.48+545342.7,Gaia DR2 420235478744248192,2.1438542,54.8952200,-79.499,2.186,33.8,0.2,7.10,1.10,0.0,17.612,15.610,13.440,12.790,12.380,2672.0,104.7,2.16,7.05,1.53,5.23,3.13,0.84,2.58,3.0,1.54
10,Sp0010-0746,00102936-0746487,2429635550212644608,J001029.43-074650.1,2MASS J00102936-0746487,2.6223720,-7.7802664,94.592,-110.247,29.2,0.2,7.10,1.10,0.0,17.448,15.320,13.130,12.490,12.080,2662.0,104.8,2.5,8.87,1.77,6.57,3.47,0.96,2.95,3.0,0.12
1019,Sp0010-2031,00100009-2031122,2364740071837660672,J001000.18-203112.1,2MASSI J0010001-203112,2.5004679,-20.5200619,115.492,6.153,28.4,0.3,9.90,1.10,0.0,18.861,17.390,14.130,13.370,12.880,2260.0,105.4,0.8,5.8,0.57,4.1,3.08,1.16,3.54,3.0,0.08
1020,Sp0011+5908,00113182+5908400,423027104407576576,J001130.57+590827.5,2MASS J00113182+5908400,2.8788798,59.1444124,-905.704,-1166.808,9.3,0.0,5.50,1.00,0.0,13.491,11.810,9.950,9.390,9.090,2902.0,104.5,27.85,13.23,19.69,12.1,4.83,2.18,6.87,1.0,0.13
12,Sp0011-3334,00110248-3334463,2310240437249834496,J001102.48-333447.6,Gaia DR2 2310240437249834496,2.7603567,-33.5796040,7.060,-97.946,35.2,0.3,6.50,1.00,0.0,17.464,15.380,13.340,12.660,12.320,2758.0,104.7,2.32,7.58,1.64,5.87,3.18,0.82,2.51,3.0,0.28
1021,Sp0012+5159,00122517+5159204,395797630219580032,,Gaia DR2 395797630219580032,3.1032685,51.9889449,-516.443,-188.685,31.9,0.4,10.50,1.10,0.0,19.372,18.010,14.660,13.820,13.410,2174.0,105.5,0.68,4.97,0.48,3.51,2.6,1.05,3.18,3.0,1.26
1022,Sp0013+4012,00130254+4012149,383030719672118528,J001302.31+401214.7,LSPM J0013+4012,3.2602292,40.2041241,-235.687,-4.550,38.3,0.2,6.80,1.10,0.0,17.294,15.630,13.530,12.940,12.620,2719.0,104.8,1.97,6.26,1.39,4.87,2.74,0.71,2.17,3.0,0.14
1023,Sp0013-0457,00134659-0457371,2444078253918146944,J001347.03-045738.9,LP  644-1,3.4441250,-4.9603333,600.586,-162.582,23.9,0.2,4.76,0.85,0.0,15.464,,11.462,10.866,10.479,3072.4,,,,,,,,,5.0,0.03
1024,Sp0013-2235,00135779-2235200,2361294885296927488,J001357.84-223520.9,2MASS J00135779-2235200,3.4908153,-22.5889735,67.639,-67.350,27.2,1.4,13.70,1.30,0.0,20.883,19.430,15.780,14.600,14.040,1737.0,113.8,0.71,4.46,0.5,3.16,2.2,1.48,4.46,3.0,0.14
14,Sp0014-3245,00140580-3245599,2316363175123938560,J001405.88-324600.1,2MASS J00140580-3245599,3.5242695,-32.7666224,78.160,-20.954,33.0,0.3,6.20,1.00,0.0,17.008,14.940,12.970,12.400,12.030,2808.0,104.9,2.56,8.68,1.81,7.24,3.12,0.81,2.48,3.0,0.00
1025,Sp0014-4844,00145575-4844171,4977142934516994176,J001456.70-484413.9,2MASS J00145575-4844171,3.7343152,-48.7380285,870.730,281.468,20.0,0.2,11.40,1.10,0.0,19.068,17.480,14.050,13.110,12.720,2049.0,105.4,1.02,7.31,0.72,5.17,3.7,1.73,5.25,3.0,0.21
15,Sp0015+3516,00154476+3516026,2876239130257160960,J001544.81+351559.8,2MASSW J0015447+351603,3.9366105,35.2673998,55.175,-257.099,17.1,0.1,11.70,1.10,0.0,18.682,17.290,13.880,12.890,12.260,1998.0,105.3,1.2,8.36,0.85,5.91,4.51,2.28,6.91,1.0,0.39
1026,Sp0015+4239,00151547+4239288,383847961754087040,J001515.40+423927.0,WISEA J001515.40+423927.0,3.8143160,42.6579510,-69.075,-132.570,27.5,0.3,11.30,1.10,0.0,19.540,18.080,14.650,13.770,13.330,2063.0,105.5,0.74,5.22,0.52,3.69,2.75,1.25,3.77,3.0,0.92
1027,Sp0017-4054,00171491-4054410,4995537965909399552,J001714.82-405445.0,WISEA J001714.82-405445.0,4.3119328,-40.9113924,-83.548,-389.082,38.2,0.6,9.60,1.10,0.0,19.147,17.740,14.550,13.910,13.400,2303.0,106.6,0.58,4.22,0.41,2.98,2.26,0.8,2.45,3.0,0.07
1028,Sp0018-6356,00184613-6356122,4900453540369793408,J001846.61-635615.9,2MASS J00184613-6356122,4.6938349,-63.9366153,332.602,-391.937,36.6,0.7,10.80,1.10,0.0,19.992,18.630,15.220,14.230,13.610,2130.0,107.2,0.66,4.7,0.46,3.33,2.62,1.1,3.32,3.0,0.31
1029,Sp0019+0030,00191165+0030176,2545563520758981760,J001911.62+003017.2,2MASS J00191165+0030176,4.7985453,0.5049021,-33.524,-44.157,38.3,0.9,10.40,1.10,0.0,19.817,18.260,14.920,14.180,13.570,2191.0,107.7,0.57,4.11,0.4,2.9,2.27,0.9,2.72,3.0,0.20
1030,Sp0019+0450,00192745+0450297,2741250786341356288,J001927.13+045026.6,LP  524-100,4.8645149,4.8416454,-485.544,-300.210,24.7,0.1,5.30,0.90,0.0,15.342,13.800,11.980,11.400,11.090,2940.0,104.6,6.66,10.57,4.71,9.9,3.5,0.97,3.02,2.0,0.05
17,Sp0019+5213,00194579+5213179,419121948343397888,J001946.18+521314.6,2MASSI J0019457+521317,4.9418277,52.2215512,310.677,-279.131,20.0,0.1,8.30,1.10,0.0,17.348,15.460,12.790,12.070,11.620,2489.0,104.7,2.9,12.54,2.05,8.87,4.54,1.49,4.54,1.0,0.64
