Sp_ID 2MASS_ID Gaia_ID Program nb_hours_surved nb_hours_threshold RA DEC Filter_spc texp_spc Filter_trap texp_trap G I J H K Dis e_Dis M e_M R e_R T_eff e_Teff SpT e_Spt SNR_TESS_temp SNR_Spec_temp SNR_TESS_HZ SNR_Spec_HZ SNR_JWST_HZ_tr SNR_JWST_HZ_occ SNR_JWST_temp_occ telescope Note
Sp0049-0635 00000000-0000000 0 3 0.0 100.0 12.361541699999998 -6.5963083 I+z 0 I+z 0 50.0 16.39 13.34 50.0 12.1 21.74 4.73 0.08 0.01 0.1 0.03 2395.0 145.0 9.0 1.0 1.64 10.06 1.16 7.11 4.39 1.51 4.58 [] add_note
Sp0205+1251 00000000-0000000 0 3 0.0 100.0 31.264333299999997 12.8616722 I+z 0 I+z 0 50.0 19.38 15.68 50.0 13.67 24.0 3.0 0.06 0.01 0.1 0.02 1581.0 106.0 15.0 1.0 0.56 3.31 0.40 2.34 2.0 1.72 5.2 [] add_note
Sp0251-0352 00000000-0000000 0 3 0.0 100.0 42.8086667 -3.8791833 I+z 0 I+z 0 50.0 16.58 13.06 50.0 11.66 12.0 1.0 0.07 0.01 0.11 0.02 1822.0 132.0 13.0 1.0 1.29 9.73 0.91 6.88 3.74 2.5 7.65 [] add_note
Sp0251-0352 00000000-0000000 0 3 0.0 100.0 42.8120833 -3.8794277999999998 I+z 0 I+z 0 50.0 16.58 13.06 50.0 11.66 11.04 0.37 0.07 0.01 0.11 0.02 1822.0 132.0 13.0 1.0 1.52 11.5 1.07 8.13 4.25 2.82 8.57 [] add_note
Sp0310-2756 00000000-0000000 0 3 0.0 100.0 47.558375 -27.9458389 I+z 0 I+z 0 50.0 19.5 15.8 50.0 13.96 20.0 7.2 0.06 0.01 0.08 0.04 1581.0 106.0 15.0 1.0 0.87 5.14 0.62 3.64 2.44 2.08 6.24 [] add_note
Sp0339+2457 00000000-0000000 0 1 0.0 200.0 54.9701667 24.9575083 I+z 0 I+z 0 50.0 15.3 12.84 50.0 11.74 19.27 1.93 0.08 0.00 0.1 0.02 2539.0 144.0 8.0 1.0 3.78 14.98 2.67 10.59 5.15 1.56 4.75 [] add_note
Sp0409-0605 00000000-0000000 0 3 0.0 100.0 62.3410417 -6.0885167000000004 I+z 0 I+z 0 50.0 14.89 12.74 50.0 11.84 22.73 5.17 0.09 0.01 0.1 0.03 2683.0 146.0 7.0 1.0 3.94 13.28 2.78 9.39 4.41 1.23 3.76 [] add_note
Sp0421-6306 00000000-0000000 0 3 0.0 100.0 65.2799167 -63.1005611 I+z 0 I+z 0 50.0 19.26 15.56 50.0 13.44 16.67 1.94 0.06 0.01 0.07 0.01 1581.0 106.0 15.0 1.0 1.07 6.36 0.76 4.5 3.39 2.9 8.69 [] add_note
Sp0512-2949 00000000-0000000 0 3 0.0 100.0 78.0265 -29.831666700000003 I+z 0 I+z 0 50.0 19.18 15.46 50.0 13.28 23.0 3.0 0.06 0.01 0.1 0.02 1636.0 113.0 14.5 1.0 0.61 3.75 0.43 2.65 2.5 1.98 5.99 [] add_note
Sp0720-0846 00000000-0000000 0 1 0.0 200.0 110.01354170000002 -8.780302800000001 I+z 0 I+z 0 50.0 13.68 10.63 50.0 9.47 6.72 0.05 0.08 0.00 0.1 0.02 2395.0 145.0 9.0 1.0 14.73 24.67 10.42 17.45 7.37 3.91 12.13 [] add_note
