Sp_ID 2MASS_ID Filter texp_spc nb_hours_threshold nb_hours_surved Gaia_ID Program RA DEC pm_RA pm_DEC G I J H K Dis e_Dis M e_M R e_R T_eff e_Teff SpT e_Spt SNR_TESS_temp SNR_Spec_temp SNR_TESS_HZ SNR_Spec_HZ SNR_JWST_HZ_tr SNR_JWST_HZ_occ telescope SNR_JWST_temp_occ
Sp0000-1245 00002867-1245153 I+z 0 100.0 0.0 2421137424841635840 3 0.1194 -12.7542 -142.649 -109.722 17.7713 15.2662 13.2 12.445 11.973 31.1982 0.2864 0.0993 0.0031 0.1101 0.0135 2740.3394 104.8359 6.61 1.0508 2.7222 9.1945 1.9249 6.7793 3.8358 1.021 [] 3.1239
Sp0001+1535 00011217+1535355 I+z 0 100.0 0.0 2772182900286956160 3 0.3007 15.5932 143.485 -174.725 20.7981 18.9845 15.522 14.505 13.71 31.5345 1.7923 0.0725 0.0152 0.0883 0.0146 1889.1275 116.0897 12.5 1.1845 0.6653 4.3058 0.4704 3.0447 2.4146 1.3345 [] 4.0265
Sp0002+0115 00020623+0115360 I+z 0 100.0 0.0 2738415592529108096 2 0.5259 1.26 463.376 61.40600000000001 16.337 14.2213 12.168 11.543 11.129 20.7745 0.0619 0.0981 0.003 0.1174 0.0143 2747.9601 104.5581 6.55 1.0437 6.0546 13.4238 4.2813 10.4591 4.4906 1.3451 [] 4.1389
Sp0004+5843 00040760+5843007 I+z 0 100.0 0.0 423130041883475968 3 1.0314 58.7168 -69.913 -55.894 18.3707 15.9772 13.697 12.986 12.478 35.1103 0.4626 0.0926 0.003 0.1098 0.0127 2623.0279 106.3681 7.42 1.0752 2.0219 6.3595 1.4297 4.4968 3.1898 0.8718 [] 2.6646
Sp0004-2058 00044144-2058298 I+z 35 100.0 87.527 2340736324254735488 3 1.173 -20.975 758.2289999999997 85.199 16.8694 15.5525 12.404000000000002 11.834 11.396 15.0565 0.0374 0.0791 0.0024 0.1099 0.013 2327.6691 104.4685 9.46 1.0544 2.7583 14.1682 1.9504 10.0184 4.5719 1.8311 ['Europa'] 5.6085
Sp0004-4044 00043484-4044058 I+z 0 200.0 0.0 4996141155411984128 1 1.1462 -40.7351 671.0880000000002 -1498.16 18.3531 16.534000000000002 13.109000000000002 12.055 11.396 12.1689 0.056 0.0739 0.0022 0.0858 0.0113 2039.9152 104.7324 11.43 1.0756 2.1316 15.9901 1.5072 11.3067 6.5167 3.3431 [] 10.1282
Sp0005+0217 00050184+0217120 I+z 0 100.0 0.0 2739077223651402240 3 1.2576 2.2866 320.94 217.721 17.8278 15.8296 13.686 13.056 12.675 38.9434 0.3413 0.0933 0.0029 0.1154 0.0134 2687.6333 105.4052 6.97 1.0612 1.9022 5.8904 1.3451 4.44 2.762 0.7212 [] 2.2097
Sp0005-2157 00054844-2157196 I+z 0 100.0 0.0 2340605825968413184 3 1.4522 -21.9555 710.803 -124.806 17.6262 15.9856 13.274 12.617 12.201 25.3041 0.1069 0.0838 0.0026 0.1089 0.0125 2476.6669 104.7102 8.43 1.0649 2.1713 8.5157 1.5354 6.0215 3.5759 1.1232 [] 3.4330000000000003
Sp0006+0439 00062623+0439115 I+z 0 100.0 0.0 2741783362285662592 3 1.6093 4.6532 323.014 -233.844 17.0166 15.1679 12.959 12.353 12.011 27.2047 0.1244 0.0906 0.0028 0.1161 0.0132 2656.1581 104.7644 7.19 1.0649 2.6784 9.8743 1.8939 7.3965 3.5013 0.9832 [] 3.0164
Sp0007-2458 00070787-2458042 I+z 0 100.0 0.0 2336406413104712320 3 1.783 -24.9679 188.539 -60.432 17.344 15.2048 13.115 12.447 12.06 30.6397 0.1736 0.0957 0.003 0.114 0.0135 2723.7013 104.6922 6.72 1.0508 2.6445 9.161 1.87 6.9371 3.5343 0.9468 [] 2.9021
