Sp_ID designation source_id Program nb_hours_surved nb_hours_threshold ra dec Filter_spc texp_spc Filter_trap texp_trap SpT e_Spt G i_c J H K Dis e_Dis Ms e_Ms Rs e_R T_eff e_Teff Known_Binary Crowding220 SNR_JWST_temp_occ SNR_JWST_HZ_occ SNR_JWST_HZ_tr SNR_Spec_HZ SNR_TESS_HZ SNR_Spec_temp SNR_TESS_temp telescope Note
Sp0000-1245 00002867-1245153 2421137424841635840 3.0 0.0 100.0 0.1193751 -12.7542112 I+z 0 I+z 0 6.6 1.0 17.771 16.282 13.2 12.45 11.97 31.3 0.3 0.1 0.001 0.115 0.01 2743.0 105.0 0.0 0.03 3.11 1.02 3.83 6.78 1.92 9.18 2.72 [] add_note
Sp0001+1535 00011217+1535355 2772182900286956160 3.0 0.0 100.0 0.3007107 15.5932068 I+z 0 I+z 0 12.5 1.2 20.798 19.379 15.52 14.51 13.71 31.6 1.8 0.073 0.006 0.089 0.01 1891.0 116.0 0.0 0.17 4.02 1.33 2.42 3.04 0.47 4.3 0.66 [] add_note
Sp0002+0115 00020623+0115360 2738415592529108096 1.0 0.0 100.0 0.5259069 1.2600395 I+z 0 I+z 0 6.5 1.0 16.337 15.233 12.17 11.54 11.13 20.8 0.1 0.098 0.001 0.122 0.01 2749.0 105.0 0.0 0.04 4.13 1.34 4.48 10.45 4.29 13.4 6.06 [] add_note
Sp0004+5843 00040760+5843007 423130041883475968 3.0 0.0 100.0 1.0314046 58.716818 I+z 0 I+z 0 7.4 1.1 18.371 16.98 13.7 12.99 12.48 35.2 0.5 0.093 0.001 0.112 0.01 2626.0 106.0 0.0 1.79 2.66 0.87 3.19 4.5 1.43 6.36 2.02 [] add_note
Sp0004-1709 00045753-1709369 2414623952318068224 2.0 0.0 100.0 1.2398172 -17.1602658 I+z 0 I+z 0 5.0 0.9 14.605 13.606 11.0 10.46 10.08 17.0 0.0 0.121 0.001 0.149 0.02 2985.0 104.0 0.0 0.0 4.07 1.3 3.8 10.42 7.08 10.62 10.02 [] add_note
Sp0004-2058 00044144-2058298 2340736324254735488 1.0 87.527 100.0 1.1730139 -20.9749664 I+z 35 I+z 0 9.4 1.1 16.869 16.027 12.4 11.83 11.4 15.1 0.0 0.079 0.0 0.11 0.01 2329.0 104.0 0.0 0.22 5.6 1.83 4.57 10.01 1.95 14.16 2.76 ['Europa'] add_note
Sp0004-4044 00043484-4044058 4996141155411984128 1.0 0.0 200.0 1.146191 -40.7351291 I+z 0 I+z 0 11.4 1.1 18.353 16.91 13.11 12.05 11.4 12.2 0.1 0.074 0.0 0.086 0.01 2041.0 105.0 1.0 0.38 2.28 0.69 1.21 4.23 13.36 2.81 18.89 [] add_note
Sp0005+0217 00050184+0217120 2739077223651402240 3.0 0.0 100.0 1.2576252 2.2866248 I+z 0 I+z 0 7.0 1.1 17.828 16.863 13.69 13.06 12.68 39.1 0.3 0.093 0.001 0.119 0.01 2690.0 105.0 0.0 0.01 2.2 0.72 2.76 4.45 1.34 5.89 1.9 [] add_note
Sp0005-2157 00054844-2157196 2340605825968413184 3.0 0.0 100.0 1.4521622 -21.9554899 I+z 0 I+z 0 8.4 1.1 17.626 16.75 13.27 12.62 12.2 25.4 0.1 0.084 0.001 0.11 0.01 2479.0 105.0 0.0 0.07 3.42 1.12 3.57 6.02 1.54 8.51 2.17 [] add_note
Sp0006+0439 00062623+0439115 2741783362285662592 3.0 0.0 100.0 1.6092862 4.6532415 I+z 0 I+z 0 7.2 1.1 17.017 16.183 12.96 12.35 12.01 27.3 0.1 0.091 0.001 0.119 0.01 2658.0 105.0 0.0 0.0 3.01 0.98 3.5 7.4 1.90 9.88 2.69 [] add_note
Sp0006-0732 00064325-0732147 2441630500517079808 1.0 0.0 100.0 1.679958 -7.5380623 I+z 0 I+z 0 5.2 0.9 11.78 10.963 8.32 7.79 7.44 4.8 0.0 0.117 0.001 0.147 0.02 2964.0 105.0 0.0 0.0 8.85 2.72 4.56 11.33 47.68 11.71 67.44 [] add_note
Sp0007-2458 00070787-2458042 2336406413104712320 3.0 0.0 100.0 1.7829665 -24.9678772 I+z 0 I+z 0 6.7 1.1 17.344 16.23 13.12 12.45 12.06 30.7 0.2 0.096 0.001 0.119 0.01 2726.0 105.0 0.0 0.04 2.9 0.95 3.53 6.94 1.87 9.15 2.64 [] add_note
Sp0008+2911 00085931+2911521 2860297040582153600 3.0 0.0 100.0 2.2470473 29.1977456 I+z 0 I+z 0 7.2 1.1 18.213 17.074 13.83 13.13 12.69 38.5 0.4 0.092 0.001 0.113 0.01 2648.0 105.0 0.0 0.17 2.36 0.77 2.9 4.17 1.26 5.82 1.78 [] add_note
Sp0008+4918 00085512+4918561 393621524910343296 1.0 0.0 100.0 2.2306785 49.3156445 I+z 0 I+z 0 5.4 1.0 14.409 13.578 10.86 10.32 9.98 14.8 0.0 0.112 0.001 0.142 0.02 2927.0 104.0 0.0 0.1 4.76 1.52 4.24 11.22 8.46 12.01 11.97 [] add_note
Sp0008+5453 00083459+5453428 420235478744248192 3.0 0.0 100.0 2.1438542 54.89522 I+z 0 I+z 0 7.1 1.1 17.612 16.643 13.44 12.79 12.38 33.8 0.2 0.093 0.001 0.117 0.01 2672.0 105.0 0.0 1.54 2.58 0.84 3.13 5.23 1.53 7.05 2.16 [] add_note
