Name spc prio_trap prio_spc Filter texp_trap texp_spc Jmag Kmag spc_type RA1 RA2 RA3 DEC1 DEC2 DEC3 nb_hours_surved parallax Note telescope
Sp0002+0115 spc 0.0 51.69 I+z 0 0 12.2 11.1 M8 0 2 6.22 1 15 36.14 0.0 20.8 output_list None
Sp0004-2058 spc 0.0 108.41 I+z 0 35 12.4 11.4 M8 0 4 41.52 -20 58 29.88 87.527 15.1 output_list Europa
Sp0005-2157 spc 0.0 58.7 I+z 0 0 13.3 12.2 M8 0 5 48.52 -21 57 19.76 0.0 25.4 output_list None
Sp0006+0439 spc 0.0 52.54 I+z 0 0 13.0 12.0 M7 0 6 26.23 4 39 11.67 0.0 27.3 output_list None
Sp0007-2458 spc 0.0 36.93 I+z 0 0 13.1 12.1 M8 0 7 7.91 -24 58 4.36 0.0 30.7 output_list None
Sp0008+4918 spc 0.0 100.0 I+z 0 15 10.9 9.9 M6 0 8 55.73 49 18 59.46 60.1 -1.0 Prio_target Artemis_Saintex
Sp0008+5453 spc 0.0 35.27 I+z 0 0 13.4 12.4 M8 0 8 34.53 54 53 42.79 0.0 33.8 output_list None
Sp0009+1709 spc 0.0 37.49 I+z 0 0 12.8 11.8 M6 0 9 50.05 17 9 21.74 0.0 35.4 output_list None
Sp0009-4628 spc 0.0 31.89 I+z 0 0 13.3 12.2 M7 0 9 33.63 -46 28 44.42 0.0 38.2 output_list None
Sp0010-0746 spc 0.0 40.93 I+z 0 0 13.1 12.1 M8 0 10 29.37 -7 46 48.96 0.0 29.2 output_list None
Sp0010-2422 spc 0.0 37.4 I+z 0 0 13.1 12.3 M6 0 10 2.05 -24 22 7.5 0.0 38.0 output_list None
Sp0011-3334 spc 0.0 30.84 I+z 0 0 13.3 12.3 M8 0 11 2.49 -33 34 46.57 0.0 35.2 output_list None
Sp0012-2413 spc 0.0 36.24 I+z 0 0 13.0 12.0 M6 0 12 37.74 -24 13 13.37 0.0 38.2 output_list None
Sp0014-3245 spc 0.0 35.94 I+z 0 0 13.0 12.0 M7 0 14 5.82 -32 45 59.84 0.0 33.0 output_list None
Sp0015+3516 spc 0.0 67.39 I+z 0 0 13.9 12.3 M12 0 15 44.79 35 16 2.64 0.0 17.1 output_list None
Sp0015+3618 spc 0.0 39.46 I+z 0 0 13.3 12.4 M6 0 15 26.36 36 18 32.37 0.0 38.8 output_list None
Sp0019+5213 spc 0.0 66.44 I+z 0 0 12.8 11.6 M9 0 19 46.04 52 13 17.58 61.5 20.0 output_list Saintex
