Name	coord	spc_type	Kmag
Sp0000-1245	000028.67-124515.30	M8.5	11.97
Sp0000-0112	000035.39-011247.20	M7.0	12.90
Sp0001+0652	000100.45+065259.60	L0.0	13.55
Sp0001-0643	000104.03-064310.50	M7.0	12.30
Sp0001+0033	000144.19+003307.90	M6.0	13.88
Sp0001-0613	000150.07-061302.70	M7.0	11.03
Sp0002+0115	000206.49+011536.60	M8.0	11.13
Sp0002+2831	000251.25+283148.00	M7.0	12.51
Sp0003+0309	000309.90+030941.30	M7.0	12.61
Sp0003-1040	000318.59-104030.90	M7.0	13.43
Sp0003-2822	000342.27-282241.00	M7.5	11.97
Sp0003+2943	000359.76+294318.40	M7.0	12.69
Sp0004-5721	000419.09-572123.41	M7.0	12.94
Sp0004-4044	000434.84-404405.80	L5.0	11.40
Sp0004-2058	000441.44-205829.80	M8.0	11.40
Sp0005+0217	000502.02+021713.70	M8.0	12.68
Sp0005+0040	000502.80+004032.70	M6.0	12.62
Sp0005+2807	000533.75+280709.00	M6.0	13.19
Sp0005+1518	000534.36+151802.50	M7.0	11.55
Sp0005+0209	000538.83+020951.20	M6.0	10.96
Sp0005+0723	000545.17+072342.30	M6.0	14.03
Sp0005-2157	000548.44-215719.60	M8.5	12.20
Sp0006-0148	000610.74-014834.70	M7.0	12.99
Sp0006+0658	000622.83+065846.40	M7.0	12.47
Sp0006-0906	000636.39-090603.10	M7.0	10.57
Sp0006-0852	000647.46-085235.00	M6.0	11.09
Sp0006-0852	000649.16-085245.70	M9.0	13.13
Sp0006-6436	000657.94-643654.20	M9.0	12.17
Sp0007-2458	000707.87-245804.20	M7.0	12.06
Sp0008-0851	000811.91-085145.10	M6.0	13.89
Sp0008-0501	000821.50-050132.40	M9.0	12.84
Sp0008+2911	000859.32+291152.18	M8.5	12.69
Sp0009+1709	000950.05+170921.00	M7.0	11.85
Sp0010-2031	001000.09-203112.20	L0.0	12.88
Sp0010-0040	001028.15-004001.50	M7.0	12.38
Sp0010-0746	001029.41-074649.70	M9.0	12.08
Sp0010+1715	001032.34+171548.50	M9.0	12.80
Sp0010+0007	001048.99+000743.80	M7.0	12.94
Sp0011+1051	001116.15+105157.80	M7.0	11.90
Sp0011-2057	001142.08-205712.90	M6.0	12.52
Sp0012-0912	001221.56-091218.60	M7.0	12.51
Sp0013-0025	001309.31-002552.10	M6.0	11.32
Sp0013-5548	001318.52-554802.30	M6.5	12.95
Sp0013-0457	001346.59-045737.20	M6.0	10.48
Sp0013-0706	001356.41-070616.80	M7.0	12.84
Sp0014+2957	001421.21+295703.70	M7.0	12.42
Sp0014-0838	001449.19-083820.70	L0.0	13.77
Sp0014-4844	001455.75-484417.10	L2.5	12.72
Sp0015+2352	001500.37+235214.50	M7.0	12.72
Sp0015+1753	001517.90+175354.00	M7.0	12.95
Sp0015-0100	001525.19-010003.60	M6.0	13.73
Sp0016+2030	001616.91+203008.60	M7.0	13.01
Sp0016+2755	001653.42+275534.90	M7.0	11.79
Sp0017-0406	001718.57-040606.20	M6.5	11.46
Sp0017+1453	001753.40+145324.10	M8.0	12.17
Sp0018-0037	001801.05-003734.10	M6.0	13.86
Sp0018+1219	001811.57+121935.40	M7.0	12.67
Sp0018-0048	001822.91-004805.00	M6.0	13.63
Sp0019+0030	001911.65+003017.60	L1.0	13.57
Sp0020+2315	002009.37+231506.30	M6.7	13.06
Sp0020+0043	002013.90+004326.70	M6.0	13.83
Sp0020-2346	002023.20-234605.00	M6.0	11.34
Sp0020+1258	002039.90+125815.90	M7.0	12.72
Sp0020-4414	002059.82-441434.00	M8.0	13.71
Sp0021-4244	002105.90-424443.33	M9.5	12.30
Sp0021-4245	002110.72-424540.10	M6.0	11.05
Sp0021-6644	002116.24-664405.20	M7.0	12.43
Sp0022+1203	002213.88+120304.00	M9.0	12.43
Sp0022+0000	002226.63+000023.00	M8.0	13.78
Sp0022+2913	002233.64+291309.00	M7.0	13.04
Sp0022+0557	002247.57+055711.10	M7.0	10.99
Sp0023+0057	002308.85+005714.00	M7.0	13.03
Sp0023-3239	002347.54-323925.40	M7.0	11.63
Sp0023+2036	002350.02+203631.10	M7.0	12.58
Sp0024+0557	002400.53+055724.20	M7.0	12.72
Sp0024-0158	002424.58-015818.60	L0.0	10.54
Sp0024+1537	002432.21+153734.00	M7.0	13.41
Sp0024-2708	002444.19-270824.20	M6.0	08.24
Sp0024+2158	002459.78+215849.10	M7.0	13.01
Sp0025-0022	002507.43-002216.10	M6.0	12.67
Sp0025+1534	002528.35+153442.60	M6.0	13.19
Sp0025+1433	002550.93+143315.10	M7.0	12.31
Sp0025-0748	002551.16-074806.90	M6.0	13.88
Sp0026+2125	002620.94+212531.70	M8.0	12.92
Sp0026+0632	002640.45+063215.10	L0.5	13.22
Sp0026-3316	002642.14-331656.60	M8.0	13.44
Sp0026+2321	002647.15+232152.20	M7.0	12.47
Sp0026-5428	002656.32-542853.00	M8.0	11.34
Sp0027-0923	002706.59-092308.70	M7.0	12.83
Sp0027-1813	002711.10-181310.40	M8.0	12.43
Sp0027-5401	002723.43-540146.10	M7.0	11.34
Sp0027+2219	002755.92+221932.80	M8.0	09.57
Sp0028-1646	002820.04-164630.50	M8.0	12.71
Sp0028-1927	002855.45-192716.50	L0.0	12.85
Sp0029+1300	002907.57+130023.30	M7.0	12.99
Sp0029+1255	002909.12+125507.70	M7.0	12.38
Sp0030-3426	003010.24-342655.30	M9.0	12.79
Sp0030+1317	003016.88+131724.90	M7.0	13.00
Sp0030+2244	003024.76+224449.20	L0.5	13.18
Sp0030-0127	003039.78-012717.50	M8.0	12.79
Sp0030-6719	003059.27-671941.91	M7.5	13.12
Sp0031-0025	003111.46-002558.20	M6.0	14.00
Sp0031-3840	003119.25-384035.60	L2.5	12.92
Sp0031-3807	003129.77-380755.57	M6.0	13.59
Sp0031+0649	003154.88+064946.60	M9.0	11.72
Sp0032+2032	003201.55+203253.70	M7.0	12.83
Sp0032+0219	003205.09+021901.70	L1.5	12.80
Sp0032+0218	003205.34+021858.60	L2.0	12.80
Sp0032-4405	003255.84-440505.80	L0.0	13.27
Sp0033-0015	003305.57-001529.40	M7.0	12.67
Sp0034+2148	003439.01+214811.00	M7.0	12.71
Sp0034+1018	003451.96+101854.60	M7.0	12.67
Sp0035+0838	003506.24+083824.30	M7.0	11.78
Sp0035+2848	003546.70+284854.40	M8.5	13.22
Sp0035+0103	003552.72+010321.60	M6.0	13.01
Sp0036+1821	003616.18+182110.47	L3.5	11.06
Sp0036+1551	003626.19+155141.00	M7.0	11.94
Sp0036+2042	003627.40+204251.00	M7.0	12.44
Sp0036+0055	003641.33+005520.30	M7.0	12.96
Sp0036-2031	003644.81-203131.70	M9.0	13.10
Sp0036+0034	003652.18+003438.80	M6.0	13.62
Sp0036-0527	003659.99-052747.50	M7.0	12.34
Sp0037+0427	003747.96+042732.90	M6.5	13.70
Sp0038+2046	003828.48+204649.20	M7.0	13.00
Sp0038-0235	003849.13-023540.10	M7.0	12.91
Sp0038-0110	003859.45-011015.53	M6.0	12.93
Sp0039-0804	003912.76-080435.40	M9.0	12.86
Sp0039-2256	003923.53-225644.04	M7.0	13.28
Sp0039-0714	003949.98-071436.00	M8.0	12.24
Sp0040-0113	004045.44-011327.20	M7.0	12.76
Sp0041+1421	004104.77+142131.90	M7.0	13.02
Sp0041-5621	004135.38-562112.70	M6.5	10.86
Sp0041+1341	004154.53+134135.10	L0.0	13.24
Sp0041-0014	004154.63-001446.50	M7.0	12.98
Sp0041-0444	004157.27-044438.50	M7.0	12.87
Sp0042-1102	004241.83-110208.30	M7.0	12.43
Sp0042+1142	004259.23+114210.40	M9.5	13.51
Sp0043+2221	004326.10+222129.50	L1.0	13.93
Sp0043+2054	004331.83+205429.30	M7.0	13.15
Sp0043+2426	004335.87+242612.30	M8.5	12.64
Sp0044-0951	004412.44-095122.20	M7.0	12.76
Sp0045+1634	004521.64+163444.20	L4.0	11.37
Sp0046+0252	004615.51+025200.40	M9.5	13.29
Sp0046+0251	004615.56+025159.60	L0.0	13.29
Sp0046-1924	004620.44-192444.30	M6.5	11.71
Sp0046-3442	004644.29-344207.30	M8.0	12.57
Sp0046+0715	004648.48+071517.30	L4.0	12.55
Sp0047+2133	004709.12+213321.70	M7.0	12.93
Sp0049-0635	004926.77-063546.70	M8.5	12.10
Sp0050-1538	005024.44-153818.40	L1.0	12.65
