Sp1456-2809 "2020-05-31 22:53:40.017" "2020-06-01 04:35:20.017" Io 33.173/200.0 38.875/200.0
Sp1921-2915 "2020-06-01 04:36:20.030" "2020-06-01 10:26:00.030" Io 71.33/200.0 77.166/200.0
Sp1655-0823 "2020-06-23 23:03:00.018" "2020-06-24 04:40:20.018" Io 68.58/200.0 74.32/200.0
Sp1921-2915 "2020-06-24 04:40:40.018" "2020-06-24 10:32:40.018" Io 71.33/200.0 77.203/200.0
Sp1655-0823 "2020-06-23 23:03:00.018" "2020-06-24 04:40:20.018" Io 68.58/200.0 74.32/200.0
Sp1921-2915 "2020-06-24 04:40:40.018" "2020-06-24 10:32:40.018" Io 71.33/200.0 77.203/200.0
Sp1655-0823 "2020-06-23 23:03:00.018" "2020-06-24 04:40:20.018" Io 68.58/200.0 74.32/200.0
Sp1921-2915 "2020-06-24 04:40:40.018" "2020-06-24 10:32:40.018" Io 71.33/200.0 77.203/200.0
Sp1845-6357 "2020-06-23 23:10:20.018" "2020-06-24 10:41:40.018" TS_La_Silla 182.222/200.0 194.093/200.0
Sp2226-7503 "2020-09-11 23:23:40.018" "2020-09-12 09:23:20.018" Io 92.761/200.0 103.242/200.0
Sp2226-7503 "2020-09-12 23:23:40.018" "2020-09-13 09:19:00.018" Io 113.701/200.0 124.159/200.0
Sp2127+5553 "2020-09-11 20:06:40.011" "2020-09-12 00:58:20.011" Artemis 132.16/200.0 137.028/200.0
Sp0036+1821 "2020-09-12 00:58:40.011" "2020-09-12 05:58:20.011" Artemis 110.86/200.0 115.861/200.0
Sp2127+5553 "2020-09-12 20:05:20.011" "2020-09-13 00:58:00.011" Artemis 137.028/200.0 141.911/200.0
Sp0036+1821 "2020-09-13 00:58:20.011" "2020-09-13 05:59:00.011" Artemis 115.861/200.0 120.878/200.0
Sp2127+5553 "2020-09-11 20:06:40.011" "2020-09-12 00:58:20.011" Artemis 132.16/200.0 137.028/200.0
Sp0036+1821 "2020-09-12 00:58:40.011" "2020-09-12 05:58:20.011" Artemis 110.86/200.0 115.861/200.0
Sp2127+5553 "2020-09-12 20:05:20.011" "2020-09-13 00:58:00.011" Artemis 137.028/200.0 141.911/200.0
Sp0036+1821 "2020-09-13 00:58:20.011" "2020-09-13 05:59:00.011" Artemis 115.861/200.0 120.878/200.0
