Sp_ID 2MASS_ID Gaia_ID Program RA DEC pm_RA pm_DEC G I J H K Dis e_Dis M e_M R e_R T_eff e_Teff SpT e_Spt SNR_TESS_temp SNR_Spec_temp SNR_TESS_HZ SNR_Spec_HZ SNR_JWST_HZ_tr SNR_JWST_HZ_occ SNR_JWST_temp_occ
Sp0049-0635 00000000-0000000 0000000000000000000 3 12.3615 -6.5963 0.0000 0.0000 50.0000 16.3850 13.3400 50.0000 12.1000 21.7400 4.7300 0.0803 0.0074 0.0972 0.0271 2394.6837 145.3031 9.0000 1.0000 1.6412 10.0609 1.1605 7.1141 4.3851 1.5054 4.5807
Sp0205+1251 00000000-0000000 0000000000000000000 3 31.2643 12.8617 0.0000 0.0000 50.0000 19.3830 15.6800 50.0000 13.6700 24.0000 3.0000 0.0600 0.0130 0.0998 0.0204 1581.0532 105.9449 15.0000 1.0000 0.5593 3.3092 0.3955 2.3400 2.0047 1.7194 5.1997
Sp0251-0352 00000000-0000000 0000000000000000000 3 42.8087 -3.8792 0.0000 0.0000 50.0000 16.5800 13.0600 50.0000 11.6600 12.0000 1.0000 0.0700 0.0149 0.1145 0.0213 1821.8290 132.0572 13.0000 1.0000 1.2863 9.7326 0.9096 6.8820 3.7392 2.5031 7.6478
Sp0251-0352 00000000-0000000 0000000000000000000 3 42.8121 -3.8794 0.0000 0.0000 50.0000 16.5800 13.0600 50.0000 11.6600 11.0400 0.3700 0.0700 0.0149 0.1053 0.0178 1821.8290 132.0572 13.0000 1.0000 1.5198 11.4988 1.0747 8.1309 4.2497 2.8159 8.5750
Sp0310-2756 00000000-0000000 0000000000000000000 3 47.5584 -27.9458 0.0000 0.0000 50.0000 19.5030 15.8000 50.0000 13.9600 20.0000 7.2000 0.0600 0.0130 0.0787 0.0397 1581.0532 105.9449 15.0000 1.0000 0.8729 5.1434 0.6172 3.6369 2.4413 2.0788 6.2448
Sp0339+2457 00000000-0000000 0000000000000000000 1 54.9702 24.9575 0.0000 0.0000 50.0000 15.3000 12.8400 50.0000 11.7400 19.2700 1.9300 0.0818 0.0041 0.0961 0.0165 2539.2062 144.2031 8.0000 1.0000 3.7774 14.9835 2.6710 10.5950 5.1522 1.5578 4.7457
Sp0409-0605 00000000-0000000 0000000000000000000 2 62.3410 -6.0885 0.0000 0.0000 50.0000 14.8900 12.7400 50.0000 11.8400 22.7300 5.1700 0.0861 0.0100 0.1046 0.0297 2683.0900 145.6885 7.0000 1.0000 3.9365 13.2828 2.7835 9.3923 4.4098 1.2285 3.7571
Sp0421-6306 00000000-0000000 0000000000000000000 3 65.2799 -63.1006 0.0000 0.0000 50.0000 19.2630 15.5600 50.0000 13.4400 16.6700 1.9400 0.0600 0.0130 0.0732 0.0145 1581.0532 105.9449 15.0000 1.0000 1.0708 6.3625 0.7571 4.4990 3.3885 2.8967 8.6904
Sp0512-2949 00000000-0000000 0000000000000000000 3 78.0265 -29.8317 0.0000 0.0000 50.0000 19.1765 15.4600 50.0000 13.2800 23.0000 3.0000 0.0625 0.0135 0.0965 0.0204 1636.0970 113.4550 14.5000 1.0000 0.6096 3.7537 0.4310 2.6543 2.5015 1.9813 5.9892
Sp0720-0846 00000000-0000000 0000000000000000000 1 110.0135 -8.7803 0.0000 0.0000 50.0000 13.6750 10.6300 50.0000 9.4700 6.7200 0.0500 0.0815 0.0025 0.1047 0.0151 2394.6837 145.3031 9.0000 1.0000 14.7302 24.6720 10.4158 17.4457 7.3689 3.9098 12.1314
