Sp_ID 2MASS Gaia_ID wise Program nb_hours_surved nb_hours_threshold RA DEC pm_ra pm_dc telescope Filter_spc texp_spc Filter_trap texp_trap Ms e_Ms Rs e_Rs Dis e_Dis SpT e_Spt binary G I J mag_h K teff teff_error SNR_TESS_temp SNR_Spec_temp SNR_TESS_HZ SNR_Spec_HZ SNR_JWST_HZ_tr SNR_JWST_HZ_occ SNR_JWST_temp_occ cf soi Note
Sp0000-1245 00002867-1245153 2421137424841635840 J000028.55-124516.4 3.0 0.0 100.0 0.1193751 -12.754211199999999 -142.649 -109.72200000000001 [] I+z 0 I+z 0 0.1 0.001 0.115 0.01 31.3 0.3 6.6 1.0 0.0 17.771 15.26 13.2 12.45 11.97 2743.0 104.8 2.72 9.18 1.92 6.78 3.83 1.02 3.11 0.03 1011 add_note
Sp0001+1535 00011217+1535355 2772182900286956160 J000112.27+153533.6 3.0 0.0 100.0 0.3007107 15.5932068 143.485 -174.725 [] I+z 0 I+z 0 0.073 0.006 0.08900000000000001 0.01 31.6 1.8 12.5 1.2 0.0 20.798000000000002 18.98 15.52 14.51 13.71 1891.0 116.1 0.66 4.3 0.47 3.04 2.42 1.33 4.02 0.17 1012 add_note
Sp0002+0115 00020623+0115360 2738415592529108096 J000206.54+011536.8 1.0 0.0 100.0 0.5259069000000001 1.2600395 463.376 61.40600000000001 [] I+z 0 I+z 0 0.098 0.001 0.122 0.01 20.8 0.1 6.5 1.0 0.0 16.337 14.22 12.17 11.54 11.13 2749.0 104.6 6.06 13.4 4.29 10.45 4.48 1.34 4.13 0.04 1 add_note
Sp0004+5843 00040760+5843007 423130041883475968 J000407.49+584259.9 3.0 0.0 100.0 1.0314046000000001 58.716818 -69.913 -55.894 [] I+z 0 I+z 0 0.09300000000000001 0.001 0.11199999999999999 0.01 35.2 0.5 7.4 1.1 0.0 18.371 15.97 13.7 12.99 12.48 2626.0 106.4 2.02 6.36 1.43 4.5 3.19 0.87 2.66 1.79 1013 add_note
Sp0004-1709 00045753-1709369 2414623952318068224 J000457.65-170937.0 2.0 0.0 100.0 1.2398171999999998 -17.1602658 145.142 -8.497 [] I+z 0 I+z 0 0.121 0.001 0.149 0.02 17.0 0.0 5.0 0.9 0.0 14.605 12.77 11.0 10.46 10.08 2985.0 104.3 10.02 10.62 7.08 10.42 3.8 1.3 4.07 0.0 1014 add_note
Sp0004-2058 00044144-2058298 2340736324254735488 J000442.04-205828.9 1.0 87.527 100.0 1.1730139 -20.9749664 758.2289999999997 85.199 ['Europa'] I+z 35 I+z 0 0.079 0.0 0.11 0.01 15.1 0.0 9.4 1.1 0.0 16.869 15.55 12.4 11.83 11.4 2329.0 104.5 2.76 14.16 1.95 10.01 4.57 1.83 5.6 0.22 2 add_note
Sp0004-4044 00043484-4044058 4996141155411984128 J000435.49-404422.3 1.0 0.0 200.0 1.146191 -40.7351291 671.0880000000002 -1498.16 [] I+z 0 I+z 0 0.07400000000000001 0.0 0.086 0.01 12.2 0.1 11.4 1.1 1.0 18.352999999999998 16.53 13.11 12.05 11.4 2041.0 104.7 18.89 2.81 13.36 4.23 1.21 0.69 2.28 0.38 1015 add_note
Sp0005+0217 00050184+0217120 2739077223651402240 J000502.05+021714.2 3.0 0.0 100.0 1.2576252 2.2866248 320.94 217.72099999999998 [] I+z 0 I+z 0 0.09300000000000001 0.001 0.11900000000000001 0.01 39.1 0.3 7.0 1.1 0.0 17.828 15.83 13.69 13.06 12.68 2690.0 105.4 1.9 5.89 1.34 4.45 2.76 0.72 2.2 0.01 1016 add_note
Sp0005-2157 00054844-2157196 2340605825968413184 J000549.00-215721.0 3.0 0.0 100.0 1.4521621999999998 -21.955489899999996 710.803 -124.806 [] I+z 0 I+z 0 0.084 0.001 0.11 0.01 25.4 0.1 8.4 1.1 0.0 17.625999999999994 15.98 13.27 12.62 12.2 2479.0 104.7 2.17 8.51 1.54 6.02 3.57 1.12 3.42 0.07 3 add_note
Sp0006+0439 00062623+0439115 2741783362285662592 J000626.45+043909.1 3.0 0.0 100.0 1.6092862 4.6532415 323.014 -233.84400000000002 [] I+z 0 I+z 0 0.091 0.001 0.11900000000000001 0.01 27.3 0.1 7.2 1.1 0.0 17.017 15.16 12.96 12.35 12.01 2658.0 104.8 2.69 9.88 1.90 7.4 3.5 0.98 3.01 0.0 4 add_note
