,Sp_ID,2MASS,Gaia_ID,wise,Program,nb_hours_surved,nb_hours_threshold,RA,DEC,e_gra,e_gdec,telescope,Filter_spc,texp_spc,Filter_trap,texp_trap,dist,dist_err,SpT,e_SpT,Ms,e_Ms,Rs,e_Rs,T_eff,teff_err,G,G_err,I,I_err,J,J_err,H,H_err,K,K_err,SNR_TESS_temp,SNR_Spec_temp,SNR_TESS_HZ,SNR_Spec_HZ,SNR_JWST_HZ_tr,SNR_JWST_HZ_occ,SNR_JWST_temp_occ,Note,Known_Binary,mag_bp,mag_bp_err,mag_rp,mag_rp_err,Habs,e_Habs,Jabs,e_Jabs,Kabs,e_Kabs,Gabs,e_Gabs,BCj,BCj_err,L_bol,L_bol_err,cf,num_stars,min_dist_stars,avg_dist_stars,rel_flux_stars,plx,plx_err,pmra,pmdec,pmra_err,pmdec_err
0,Sp0000-1245,00002867-1245153,2421137424841635840,J000028.55-124516.4,3.0,0.0,100.0,0.1193751,-12.7542112,0.21751260000000008,0.1750082,[],I+z,0,I+z,0,31.3,0.3,6.6,1.0,0.1,0.001,0.115,0.01,2743.0,105.0,17.771,0.0017555660434263884,16.28,0.2689511448806985,13.2,0.026000000536441803,12.45,0.023000000044703484,11.97,0.023000000044703484,2.72,9.18,1.92,6.78,3.83,1.02,3.11,add_note,0.0,20.393234252929688,0.1518116456294691,16.111701965332028,0.011850448419456951,9.9737912385086,0.030389349603410217,10.7237912385086,0.03271868877502432,9.493791238508603,0.030389349603410217,15.295075341902153,0.019939773805004918,1.9444219885053435,0.020435602289071042,0.0006740850714554799,2.395026401165389e-05,0.03,2,31.21,0.0,0.0,0.0,0.0,-142.649,-109.722,0.487,0.393
1,Sp0001+1535,00011217+1535355,2772182900286956160,J000112.27+153533.6,3.0,0.0,100.0,0.3007107,15.5932068,1.3362546999999998,1.1233607,[],I+z,0,I+z,0,31.6,1.8,12.5,1.2,0.07200000000000001,0.006,0.08800000000000001,0.01,1891.0,116.0,20.798,0.013246629160124307,19.379,0.08668405850758754,15.52,0.06199999898672104,14.51,0.05299999937415123,13.71,0.04399999976158142,0.66,4.3,0.47,3.04,2.42,1.33,4.02,add_note,0.0,21.45049476623535,0.332049629917934,19.08988380432129,0.06900194332502615,12.010444780748507,0.13459157413860393,13.020444780748509,0.13838313397882235,11.21044478074851,0.131308384631243,18.29856337205711,0.12442413383083342,1.8332353515625075,0.0973570312499983,9.005917144308382e-05,1.4034640101955362e-05,0.17,3,38.62,0.0,0.0,0.0,0.0,143.485,-174.725,4.47,2.397
2,Sp0002+0115,00020623+0115360,2738415592529108096,J000206.54+011536.8,1.0,0.0,200.0,0.5259069000000001,1.2600395,0.1230078,0.0595308,[],I+z,0,I+z,0,20.8,0.1,6.5,1.0,0.098,0.001,0.122,0.01,2749.0,105.0,16.337,0.0009220581255204518,15.223,0.2737391384442938,12.17,0.02199999988079071,11.54,0.023000000044703484,11.13,0.023000000044703484,6.06,13.4,4.29,10.45,4.48,1.34,4.13,add_note,0.0,19.44929313659668,0.026227575813307185,14.804235458374025,0.0057715751539842855,9.948639598941863,0.0238506667669452,10.578639598941868,0.02288786355093666,9.538639598941867,0.0238506667669452,14.745650936222134,0.006380007394850098,1.94232456263616,0.021511251565237883,0.0007719947295055209,2.233356140325928e-05,0.04,2,31.32,0.0,0.0,0.0,0.0,463.376,61.40600000000001,0.238,0.116
3,Sp0004+5843,00040760+5843007,423130041883475968,J000407.49+584259.9,3.0,0.0,100.0,1.0314046,58.716818,0.2544308,0.2489174,[],I+z,0,I+z,0,35.2,0.5,7.4,1.1,0.093,0.001,0.112,0.01,2626.0,106.0,18.371,0.0033095940450239233,16.977,0.2510601320730869,13.7,0.0430000014603138,12.99,0.0430000014603138,12.48,0.03500000014901161,2.02,6.36,1.43,4.5,3.19,0.87,2.66,add_note,0.0,20.8463134765625,0.21974261122170646,16.681629180908207,0.005755476816898107,10.256571201632395,0.05163358852999393,10.966571201632394,0.05163358852999393,9.746571201632396,0.04518879672361885,15.637258686373606,0.02877465467456717,1.9572403676084995,0.012686948650898715,0.0005326910159617747,2.608632443187228e-05,1.79,47,6.46,0.0,0.0,0.0,0.0,-69.913,-55.894,0.479,0.425
4,Sp0004-1709,00045753-1709369,2414623952318068224,J000457.65-170937.0,2.0,0.0,100.0,1.2398171999999998,-17.1602658,0.1012438,0.06071910000000001,[],I+z,0,I+z,0,17.0,0.0,5.0,0.9,0.121,0.001,0.149,0.02,2985.0,104.0,14.605,0.0006206492923306179,13.592,0.30406700075396803,11.0,0.02199999988079071,10.46,0.020999999716877937,10.08,0.020999999716877937,10.02,10.62,7.08,10.42,3.8,1.3,4.07,add_note,0.0,16.971298217773438,0.010907233155228844,13.200804710388185,0.0029329094152137193,9.30232074517158,0.021481606622229626,9.84232074517158,0.02246017430293312,8.92232074517158,0.021481606622229626,13.44710761803535,0.004565593116717335,1.8987044659281889,0.03250656971843097,0.0015833973565561445,5.7621695769070656e-05,0.0,0,92.91,0.0,0.0,0.0,0.0,145.142,-8.497,0.22,0.132
5,Sp0004-2058,00044144-2058298,2340736324254735488,J000442.04-205828.9,1.0,87.527,200.0,1.1730139,-20.9749664,0.1510875,0.0999115,['Europa'],I+z,35,I+z,0,15.1,0.0,9.4,1.1,0.079,0.0,0.11,0.01,2329.0,104.0,16.869,0.0014478840997047587,16.022000000000002,0.13801496332060822,12.4,0.02199999988079071,11.83,0.01899999938905239,11.4,0.023000000044703484,2.76,14.16,1.95,10.01,4.57,1.83,5.6,add_note,0.0,20.483932495117188,0.0988222107802325,15.24854850769043,0.005364601442922811,10.938698991526403,0.019721714477577784,11.508698991526403,0.02262622460566281,10.508698991526405,0.02359970438813737,15.978114274729528,0.005481096014237287,1.9649706851680016,0.00984358803999942,0.0003210200287643364,7.295586414899139e-06,0.22,6,29.95,0.0,0.0,0.0,0.0,758.2289999999997,85.199,0.295,0.21600000000000005
6,Sp0004-4044,00043484-4044058,4996141155411984128,J000435.49-404422.3,1.0,0.0,200.0,1.146191,-40.7351291,0.2284719,0.2395404,[],I+z,0,I+z,0,12.2,0.1,11.4,1.1,0.07400000000000001,0.0,0.086,0.01,2041.0,105.0,18.353,0.0029764613369438696,16.909000000000002,0.07162161407151643,13.11,0.024000000208616257,12.05,0.026000000536441803,11.4,0.026000000536441803,18.89,2.81,13.36,4.23,1.21,0.69,2.28,add_note,1.0,21.34993934631348,0.15762911451339973,16.638212203979492,0.012609314173831971,11.621567457383005,0.02784425093550009,12.681567457383,0.025986579079934784,10.971567457383003,0.02784425093550009,17.924634855454293,0.010400077132139243,1.9077709643680048,0.05879601683999865,0.00011488534461228098,6.801972328494105e-06,0.38,6,18.34,0.0,0.0,0.0,0.0,671.0880000000002,-1498.16,0.353,0.513
7,Sp0005+0217,00050184+0217120,2739077223651402240,J000502.05+021714.2,3.0,0.0,100.0,1.2576252,2.2866248,0.1881596,0.1438761,[],I+z,0,I+z,0,39.1,0.3,7.0,1.1,0.093,0.001,0.119,0.01,2690.0,105.0,17.828,0.0016890911649149775,16.873,0.27271337111562555,13.69,0.028999999165534977,13.06,0.03500000014901161,12.68,0.023000000044703484,1.9,5.89,1.34,4.45,2.76,0.72,2.2,add_note,0.0,20.65501976013184,0.14607802679428447,16.264020919799805,0.00812859956063787,10.100888546586637,0.039770671684435904,10.730888546586632,0.03460789313728023,9.720888546586632,0.029760818501122225,14.868641613603234,0.01896205012027372,1.9517220656819336,0.01764640893604681,0.0006652053831788154,2.3800755049018506e-05,0.01,2,39.44,0.0,0.0,0.0,0.0,320.94,217.721,0.45,0.29
8,Sp0005-2157,00054844-2157196,2340605825968413184,J000549.00-215721.0,3.0,0.0,100.0,1.4521621999999998,-21.9554899,0.14749520000000002,0.102592,[],I+z,0,I+z,0,25.4,0.1,8.4,1.1,0.084,0.001,0.11,0.01,2479.0,105.0,17.625999999999994,0.0016765203431876835,16.745,0.19032962770135164,13.27,0.02500000037252903,12.62,0.024000000208616257,12.2,0.029999999329447743,2.17,8.51,1.54,6.02,3.57,1.12,3.42,add_note,0.0,21.06731605529785,0.14224060865217086,16.014667510986328,0.006561993504031647,10.599536337753763,0.02563517829346069,11.249536337753764,0.026573715862678853,10.179536337753763,0.03132351059333553,15.605736060043805,0.009163682479498086,1.9630378652159384,5.0984285968293016e-05,0.0004082914813263095,9.993073580445496e-06,0.07,4,13.05,0.0,0.0,0.0,0.0,710.803,-124.806,0.326,0.207
9,Sp0006+0439,00062623+0439115,2741783362285662592,J000626.45+043909.1,3.0,0.0,100.0,1.6092862,4.6532415,0.1196002,0.0915158,[],I+z,0,I+z,0,27.3,0.1,7.2,1.1,0.091,0.001,0.119,0.01,2658.0,105.0,17.017,0.0009578670787910858,16.191,0.26059203018778715,12.96,0.026000000536441803,12.35,0.026000000536441803,12.01,0.024000000208616257,2.69,9.88,1.90,7.4,3.5,0.98,3.01,add_note,0.0,20.31740379333496,0.047988460211951314,15.48695468902588,0.003333752290210883,10.171924704479231,0.027770148028244214,10.781924704479227,0.027770148028244214,9.831924704479231,0.025907163172165387,14.838491934703839,0.009802989490775444,1.9547066912376216,0.015179657865386519,0.0006329179922133311,1.8448920491979464e-05,0.0,1,48.42,0.0,0.0,0.0,0.0,323.014,-233.844,0.365,0.207
