| Target |.1 Telescope |.2 Hours |.3
| ------------------------- | ---------- | ------ |
| 06478 | Artemis | 3.6021 |
| BD-16-52- | Ganymede | 9.2140 |
| CK19Q040 | Artemis | 103.96 |
| EP249631677 | Ganymede | 4.9142 |
| EP249631677 | Artemis | 6.1806 |
| EP249631677 | Io | 3.1828 |
| G93-48 | Multi | 0.1280 |
| GAIJIN-1 | Europa | 2.1353 |
| GB00234 | Artemis | 24.723 |
| GJ-299 | Multi | 6.0479 |
| GJ-299 | Artemis | 0.0 |
| GJ-299 | Io | 0.0 |
| GJ1132 | Europa | 40.940 |
| GJ1132 | Callisto | 4.6899 |
| GJ1132B | Io | 9.6969 |
| GJ1132B | Callisto | 7.5181 |
| GJ1132B | Multi | 36.200 |
| HD-14326- | Ganymede | 19.158 |
| HD-14326- | Io | 8.0768 |
| HW-VIR | Europa | 1.9423 |
| HW-VIR | Io | 5.8612 |
| J1509-10 | Ganymede | 9.9954 |
| KELT-21B | Artemis | 6.3783 |
| LTT7987 | Multi | 0.1612 |
| LTT9239 | Multi | 0.0056 |
| LUHMAN-16 | Europa | 16.610 |
| NGC-2359 | Io | 1.1089 |
| NGC5128 | Io | 0.7819 |
| NGTS-1 | Callisto | 7.4763 |
| NGTS-BD | Callisto | 17.101 |
| NGTS-X | Europa | 11.398 |
| NGTS-XBB | Callisto | 5.8661 |
| NGTS-XBB | Io | 5.5838 |
| NGTS0002-2953 | Callisto | 9.6667 |
| NOI-105435 | Ganymede | 4.6551 |
| PROXIMA | Europa | 7.0678 |
| QATAR-10B | Artemis | 5.0254 |
| SP0004-2058 | Europa | 129.30 |
| SP0006-0732 | Ganymede | 37.561 |
| SP0008+4918 | Artemis | 132.59 |
| SP0024-0158 | Europa | 119.82 |
| SP0024-0158 | Ganymede | 46.664 |
| SP0025+5422 | Artemis | 218.38 |
| SP0026-5428 | Europa | 100.32 |
| SP0027-5401 | Europa | 13.530 |
| SP0036+1821 | Artemis | 125.16 |
| SP0049-0635 | Callisto | 16.529 |
| SP0051-2251 | Callisto | 25.110 |
| SP0052-6201 | Ganymede | 7.8556 |
| SP0055-3052 | Io | 5.1861 |
| SP0102-3737 | Io | 13.698 |
| SP0102-3737 | Europa | 9.7378 |
| SP0102-6322 | Europa | 35.697 |
| SP0109-0343 | Europa | 86.090 |
| SP0109-0343 | Artemis | 38.950 |
| SP0109-4954 | Io | 32.804 |
| SP0109-5100 | Europa | 8.1692 |
| SP0109-5100 | Io | 165.07 |
| SP0111-4908 | Io | 64.375 |
| SP0123-4240 | Callisto | 76.107 |
| SP0124-3355 | Io | 31.521 |
| SP0138-7320 | Io | 73.714 |
| SP0148-3024 | Europa | 11.810 |
| SP0148-3024 | Io | 63.987 |
| SP0202+1020 | Europa | 0.1301 |
| SP0202+1020 | Callisto | 41.949 |
| SP0207-3721 | Io | 66.003 |
| SP0207-3721 | Callisto | 12.842 |
| SP0214-0357 | Io | 0.0 |
| SP0214-0357 | Multi | 5.2949 |
| SP0214-0357 | Europa | 190.39 |
| SP0215-3040 | Europa | 25.409 |
| SP0215-3040 | Callisto | 77.379 |
| SP0215-3040 | Io | 48.707 |
| SP0216+1335 | Ganymede | 54.969 |
| SP0216-2200 | Europa | 12.355 |
| SP0219+5919 | Artemis | 10.255 |
| SP0222-2732 | Callisto | 174.85 |
| SP0225+6229 | Artemis | 13.985 |
| SP0227+5034 | Artemis | 12.298 |
| SP0237-3434 | Europa | 9.0908 |
| SP0237-3434 | Callisto | 52.501 |
| SP0248-1651 | Europa | 52.880 |
| SP0248-1651 | Callisto | 45.897 |
| SP0249-3131 | Callisto | 23.555 |
| SP0253+1652 | Europa | 36.599 |
| SP0253-2336 | Callisto | 16.819 |
| SP0253-2336 | Europa | 51.323 |
| SP0253-2336 | Ganymede | 38.976 |
| SP0253-7957 | Ganymede | 30.531 |
| SP0253-7959 | Europa | 1.7500 |
| SP0253-7959 | Ganymede | 9.8456 |
| SP0254-1934 | Ganymede | 146.61 |
| SP0254-1934 | Callisto | 4.2174 |
| SP0255-4700 | Europa | 197.66 |
| SP0302-3950 | Ganymede | 11.988 |
| SP0306-2647 | Ganymede | 104.54 |
| SP0306-3647 | Europa | 119.32 |
| SP0306-3647 | Ganymede | 28.289 |
| SP0306-3647 | Callisto | 13.155 |
| SP0306-3648 | Io | 41.710 |
| SP0314+1603 | Europa | 19.234 |
| SP0314+2840 | Artemis | 2.0442 |
| SP0314+2840 | Ganymede | 8.5492 |
| SP0319-3703 | Europa | 54.501 |
| SP0320+1854 | Ganymede | 52.231 |
| SP0320+1854 | Artemis | 5.7475 |
| SP0330-4835 | Ganymede | 50.955 |
| SP0331-3042 | Europa | 29.637 |
| SP0331-3042 | Io | 181.49 |
| SP0334-4953 | Ganymede | 21.289 |
| SP0334-4953 | Callisto | 129.95 |
| SP0339-3525 | Europa | 248.62 |
| SP0351-0052 | Europa | 8.0412 |
| SP0351-0052 | Ganymede | 59.690 |
| SP0352-5955 | Io | 75.519 |
| SP0354-1437 | Io | 220.83 |
| SP0417-0800 | Ganymede | 152.44 |
| SP0419+4233 | Artemis | 56.522 |
| SP0420-1458 | Europa | 55.366 |
| SP0420-7005 | Europa | 4.4546 |
| SP0420-7005 | Callisto | 26.652 |
| SP0420-7005 | Io | 61.690 |
| SP0422-3606 | Ganymede | 5.1899 |
| SP0426+0336 | Europa | 6.1625 |
| SP0426+0336 | Io | 41.528 |
| SP0429-3123 | Multi | 10.584 |
| SP0429-3123 | Europa | 206.17 |
| SP0429-3123 | Io | 9.5890 |
| SP0435-1414 | Callisto | 27.844 |
| SP0435-1606 | Europa | 121.98 |
| SP0435-1606 | Ganymede | 20.225 |
| SP0435-1606 | Io | 34.257 |
| SP0439-3235 | Callisto | 162.85 |
| SP0440-0530 | Europa | 60.006 |
| SP0440-0530 | Io | 116.81 |
| SP0440-0530 | Multi | 10.288 |
| SP0451-5818 | Io | 29.146 |
| SP0451-5818 | Ganymede | 83.597 |
| SP0510+2714 | Artemis | 73.833 |
| SP0510+2714 | Callisto | 23.448 |
| SP0510+2714 | Io | 7.6378 |
| SP0516+5640 | Artemis | 5.5047 |
| SP0517-3349 | Ganymede | 41.812 |
| SP0517-3349 | Io | 159.38 |
| SP0522+5754 | Artemis | 14.821 |
| SP0523-1403 | Europa | 135.46 |
| SP0523-5607 | Europa | 45.441 |
| SP0535-0931 | Europa | 9.0690 |
| SP0535-0931 | Ganymede | 50.354 |
| SP0535-0931 | Io | 2.6317 |
| SP0537-0816 | Ganymede | 37.784 |
| SP0537-0816 | Callisto | 19.646 |
| SP0544-2433 | Callisto | 161.28 |
| SP0551+5511 | Artemis | 24.087 |
