| Target |.1 Hours |.2
| ------------------------- | ------ |
| 06478 | 3.6021 |
| BD-16-52- | 9.2140 |
| CK19Q040 | 103.96 |
| EP249631677 | 14.277 |
| GAIJIN-1 | 2.1353 |
| GB00234 | 24.723 |
| GJ-299 | 6.0479 |
| GJ1132 | 45.630 |
| GJ1132B | 53.415 |
| HD-14326- | 27.235 |
| HW-VIR | 7.8036 |
| J1509-10 | 9.9954 |
| KELT-21B | 6.3783 |
| LUHMAN-16 | 16.610 |
| NGC-2359 | 1.1089 |
| NGC5128 | 0.7819 |
| NGTS-1 | 7.4763 |
| NGTS-BD | 17.101 |
| NGTS-X | 11.398 |
| NGTS-XBB | 11.449 |
| NGTS0002-2953 | 9.6667 |
| NOI-105435 | 4.6551 |
| PROXIMA | 7.0678 |
| QATAR-10B | 5.0254 |
| SP0004-2058 | 129.30 |
| SP0006-0732 | 37.561 |
| SP0008+4918 | 132.59 |
| SP0024-0158 | 166.48 |
| SP0025+5422 | 218.38 |
| SP0026-5428 | 100.32 |
| SP0027-5401 | 13.530 |
| SP0036+1821 | 125.16 |
| SP0049-0635 | 16.529 |
| SP0051-2251 | 25.110 |
| SP0052-6201 | 7.8556 |
| SP0055-3052 | 5.1861 |
| SP0102-3737 | 23.436 |
| SP0102-6322 | 35.697 |
| SP0109-0343 | 125.04 |
| SP0109-4954 | 32.804 |
| SP0109-5100 | 173.24 |
| SP0111-4908 | 64.375 |
| SP0123-4240 | 76.107 |
| SP0124-3355 | 31.521 |
| SP0138-7320 | 73.714 |
| SP0148-3024 | 75.798 |
| SP0202+1020 | 42.079 |
| SP0207-3721 | 78.845 |
| SP0214-0357 | 195.69 |
| SP0215-3040 | 151.49 |
| SP0216+1335 | 54.969 |
| SP0216-2200 | 12.355 |
| SP0219+5919 | 10.255 |
| SP0222-2732 | 174.85 |
| SP0225+6229 | 13.985 |
| SP0227+5034 | 12.298 |
| SP0237-3434 | 61.592 |
| SP0248-1651 | 98.777 |
| SP0249-3131 | 23.555 |
| SP0253+1652 | 36.599 |
| SP0253-2336 | 107.11 |
| SP0253-7957 | 30.531 |
| SP0253-7959 | 11.595 |
| SP0254-1934 | 150.83 |
| SP0255-4700 | 197.66 |
| SP0302-3950 | 11.988 |
| SP0306-2647 | 104.54 |
| SP0306-3647 | 160.76 |
| SP0306-3648 | 41.710 |
| SP0314+1603 | 19.234 |
| SP0314+2840 | 10.593 |
| SP0319-3703 | 54.501 |
| SP0320+1854 | 57.978 |
| SP0330-4835 | 50.955 |
| SP0331-3042 | 211.13 |
| SP0334-4953 | 151.24 |
| SP0339-3525 | 248.62 |
| SP0351-0052 | 67.731 |
| SP0352-5955 | 75.519 |
| SP0354-1437 | 220.83 |
| SP0417-0800 | 152.44 |
| SP0419+4233 | 56.522 |
| SP0420-1458 | 55.366 |
| SP0420-7005 | 92.798 |
| SP0422-3606 | 5.1899 |
| SP0426+0336 | 47.690 |
| SP0429-3123 | 226.35 |
| SP0435-1414 | 27.844 |
| SP0435-1606 | 176.46 |
| SP0439-3235 | 162.85 |
| SP0440-0530 | 187.10 |
| SP0451-5818 | 112.74 |
| SP0510+2714 | 104.91 |
| SP0516+5640 | 5.5047 |
| SP0517-3349 | 201.20 |
| SP0522+5754 | 14.821 |
| SP0523-1403 | 135.46 |
| SP0523-5607 | 45.441 |
| SP0535-0931 | 62.055 |
| SP0537-0816 | 57.430 |
| SP0544-2433 | 161.28 |
| SP0551+5511 | 24.087 |
| SP0553-7133 | 203.53 |
| SP0555-5402 | 62.415 |
| SP0602+3910 | 126.97 |
| SP0602-0915 | 75.561 |
| SP0610-3346 | 63.524 |
| SP0630-1840 | 57.117 |
| SP0643-1843 | 134.15 |
| SP0646-2150 | 17.407 |
| SP0652-2534 | 50.770 |
| SP0702-6102 | 65.223 |
| SP0704+0258 | 47.642 |
| SP0711-3824 | 80.816 |
| SP0714+3702 | 16.193 |
| SP0721-3105 | 89.612 |
| SP0723-8015 | 79.646 |
| SP0731+0249 | 110.75 |
| SP0740-1724 | 35.374 |
| SP0741+1738 | 22.490 |
| SP0746+2000 | 120.43 |
| SP0751-2530 | 62.685 |
| SP0752+1612 | 69.135 |
| SP0755-2404 | 142.75 |
| SP0804+6153 | 133.94 |
| SP0805-3158 | 106.10 |
| SP0807+3213 | 33.864 |
| SP0814-3602 | 45.763 |
| SP0828-1309 | 201.29 |
| SP0829+2646 | 39.866 |
| SP0830+0947 | 128.74 |
| SP0833-5336 | 61.488 |
| SP0835-0819 | 57.967 |
| SP0838-5856 | 56.863 |
| SP0840+1824 | 84.148 |
| SP0848-2019 | 97.306 |
| SP0850-1924 | 9.2461 |
| SP0853-0329 | 71.700 |
| SP0853-2446 | 65.779 |
| SP0900+2150 | 17.761 |
| SP0900+2151 | 44.450 |
| SP0903+0540 | 100.64 |
| SP0921-2104 | 117.12 |
| SP0923-2300 | 45.207 |
| SP0923-2727 | 44.664 |
| SP0931-1717 | 66.109 |
| SP0932+2659 | 8.1516 |
| SP0933-4353 | 35.159 |
| SP0936-2609 | 104.03 |
| SP0938-2748 | 126.25 |
| SP0943-3833 | 142.92 |
| SP0949+0806 | 84.056 |
| SP1003-0105 | 117.65 |
| SP1006-1653 | 101.84 |
| SP1013-7842 | 95.289 |
| SP1016+2751 | 4.9018 |
| SP1032-4208 | 33.548 |
| SP1036+1923 | 48.429 |
| SP1037+3011 | 33.481 |
| SP1045-2607 | 33.755 |
| SP1048+0111 | 32.387 |
| SP1048-1120 | 4.2716 |
| SP1048-3956 | 79.993 |
| SP1050+4907 | 10.795 |
| SP1054-3445 | 100.03 |
| SP1115-6731 | 79.605 |
| SP1119+4641 | 3.9077 |
| SP1121-1313 | 55.951 |
| SP1124-4213 | 96.515 |
| SP1141-2232 | 92.224 |
| SP1145-2021 | 75.712 |
| SP1150-3139 | 30.228 |
| SP1153+0659 | 105.02 |
| SP1155-2224 | 77.724 |
| SP1155-3727 | 73.313 |
| SP1159-5247 | 147.82 |
| SP1201-1213 | 9.3424 |
| SP1201-2737 | 99.187 |
| SP1201-2932 | 42.322 |
| SP1207-3932 | 27.767 |
| SP1223-2757 | 62.058 |
| SP1224-1238 | 14.072 |
| SP1232-6856 | 230.27 |
| SP1233-5020 | 78.652 |
| SP1235+1318 | 7.5170 |
| SP1238+0410 | 5.0286 |
| SP1239+0410 | 40.259 |
| SP1241-3152 | 8.1957 |
| SP1245-5721 | 42.804 |
| SP1250-2121 | 129.17 |
| SP1252+0252 | 6.4430 |
| SP1253+4034 | 12.191 |
| SP1253-5709 | 10.147 |
| SP1255-5928 | 98.966 |
