Sp_ID 2MASS_ID Gaia_ID Filter texp_spc texp_trap RA DEC V J SpT e_Spt Note
Sp0024-0158 enter enter I+z 40 0 0.0 -1.9716666666666667 16.0 12.0 enter enter None
Sp0109-5100 enter enter I+z 50 0 15.254166666666665 -51.01361111111111 16.2 12.2 enter enter None
Sp0216+1335 enter enter I+z 10 0 30.50833333333333 13.585 15.6 9.9 enter enter None
Sp2210-0936 enter enter I+z 30 0 335.59166666666664 -9.600277777777777 15.5 11.5 enter enter None
NGTS0002-29 enter enter I+z 60 0 0.0 -29.898055555555555 17.4 13.4 enter enter Target_Ed
TOI-175 enter enter r' 15 0 122.03333333333332 -68.31277777777777 11.6 7.9 enter enter None
WASP-91 enter enter z' 10 0 350.8458333333333 -70.08194444444445 11.9 10.3 enter enter Troyan?
Sp0731+0249 enter enter I+z 15 0 106.77916666666665 2.8188888888888886 11.2 10.2 enter enter Prio_target
Sp0938-2748 enter enter I+z 50 0 137.2875 -27.805 13.0 11.9 enter enter output_list
Sp1633-6808 enter enter i' 50 0 244.06666666666663 -68.14666666666668 11.6 10.6 enter enter Prio_target
Sp1510-2818 enter enter I+z 50 100 228.81249999999997 -28.304722222222225 20.8 12.8 enter enter "Eclipse_Young_EB_BDs_M9BD_J=146.7"""
Sp1552-2623 enter enter i' 20 0 228.81249999999997 -26.38888888888889 10.3 9.3 enter enter Prio_target
Luhman_16 enter enter z' 60 0 152.54166666666666 -53.3175 11.5 10.4 enter enter Luhman_16_EB
Sp1428+3310 enter enter I+z 30 0 213.5583333333333 33.177499999999995 12.0 11.0 enter enter Prio_target
Trappist-1 enter enter I+z 23 50 350.8458333333333 -5.041111111111111 18.8 11.3 enter enter Prio_target
TOI-736 enter enter I+z 20 0 167.79583333333332 -16.40611111111111 18.8 11.6 enter enter Prio_TESS
TESS-WASP enter enter B 25 50 152.54166666666666 -29.996944444444445 18.8 10.95 enter enter Prio_target
TOI-178 enter enter i' 10 0 0.0 -30.453611111111112 12.0 9.37 enter enter TESS_target
TOI-456 enter enter I+z 80 0 61.01666666666666 -41.24611111111111 13.9 12.05 enter enter TESS_target
TESS_BRETT enter enter I+z 00 10 350.8458333333333 -40.33777777777778 9.86 9.02 enter enter TESS_target
Gaijin-1 enter enter Clear 50 0 335.59166666666664 -6.996111111111111 0.0 0.0 enter enter technical_obs
Quaoar enter enter Clear 2 0 274.575 -15.556666666666667 0.0 0.0 enter enter occultation_manu
NOI-105435 enter enter i' 10 0 320.3375 -2.7255555555555557 12.8 11.5 enter enter NGTS_Amaury
LTT9239 enter enter z',r',i',g',I+z 4,6,4,6,4 0 335.59166666666664 -20.590555555555554 0.0 0.0 enter enter obs_Daniel
TIC_201789285 enter enter r' 35 0 30.50833333333333 -56.45472222222222 11.927999999999999 11.927999999999999 enter enter obs_Max
HIP_41_378f enter enter r' 35 0 122.03333333333332 10.080277777777777 8.92 7.982 enter enter obs_amaury
TI206544316 J01134031-5939346 4909009394396454144 i' 10 0 18.418844 -59.65974 14.744 9.953 3.7 0.1 obs_Max_complex_rotator

