spc,gaia,coord[J2015.5],ra_deg,dec_deg,pm_ra,pm_dec,Teff,Spt,Spt_e,Gmag,jmag,kmag,bpmag,dist,SNR
Sp0002+0115,2738415592529108096,00h02m06.6965s +01d15m37.0938s,0.5279019844512823,1.2603038449154707,463.37552778798164,61.40593229948559,2500.0,7.333333333333333,0.2721655269759087,16.337011337280273,12.168000221252441,11.128999710083008,19.44929313659668,20.8,0.51693
Sp0004-2058,2340736324254735488,00h04m42.3068s -20d58m28.5584s,1.1762784779044595,-20.974599546351453,758.2287249384368,85.19867024601773,2500.0,8.0,0.4714045207910317,16.869415283203125,12.404000282287598,11.395999908447266,20.483932495117188,15.1,1.084088
Sp0005-2157,2340605825968413184,00h05m49.2534s -21d57m21.6981s,1.4552226491200255,-21.956027257801168,710.8033547817339,-124.80550956252156,2500.0,8.333333333333334,0.2721655269759087,17.62619972229004,13.27400016784668,12.201000213623047,21.06731605529785,25.4,0.586965
Sp0006+0439,2741783362285662592,00h06m26.5625s +04d39m08.045s,1.6106769724361056,4.6522347203414345,323.01427977316155,-233.84356881556545,2650.0,7.0,0.4714045207910317,17.01656723022461,12.958999633789062,12.01099967956543,20.31740379333496,27.3,0.525409
Sp0007-2458,2336406413104712320,00h07m08.1068s -24d58m05.2946s,1.783778280159955,-24.968137387844713,188.53942265449757,-60.43153317517794,2500.0,8.0,0.0,17.34402847290039,13.114999771118164,12.0600004196167,20.40315055847168,30.7,0.369261
Sp0008+4918,393621524910343296,00h08m55.7274s +49d18m59.456s,2.23219770683468,49.31651555025362,352.8529573132732,202.29802099799386,2850.0,6.0,0.0,14.409086227416992,10.86400032043457,9.979999542236328,16.790782928466797,14.8,0.883421
Sp0008+5453,420235478744248192,00h08m34.4429s +54d53m42.826s,2.143511952975012,54.895229458216846,-79.49893040893858,2.185814845333925,2500.0,8.0,0.0,17.611968994140625,13.435999870300293,12.380999565124512,20.560352325439453,33.8,0.352678
Sp0009+1709,2772737844422061440,00h09m50.0438s +17d09m20.5385s,2.4585158451972586,17.15570512792952,-6.319838845368253,-77.50772500510809,2850.0,6.0,0.0,16.361492156982422,12.76200008392334,11.847999572753906,18.774168014526367,35.4,0.374921
Sp0009-4628,4990235918977927424,00h09m33.5005s -46d28m47.3834s,2.389585373706414,-46.47982871974588,-122.42669010579333,-191.20123944839074,2650.0,7.0,0.0,17.10541534423828,13.255000114440918,12.225000381469727,19.818904876708984,38.2,0.318857
Sp0010-0746,2429635550212644608,00h10m29.467s -07d46m50.6679s,2.62277930612753,-7.7807410903087675,94.59171882019426,-110.24657365646377,2500.0,7.666666666666667,0.2721655269759087,17.44780731201172,13.130999565124512,12.083000183105469,20.415124893188477,29.2,0.409327
Sp0010-2422,2336452180276297728,00h10m01.7944s -24d22m12.6244s,2.507476795250882,-24.3701734367851,-243.3491546662031,-330.4918413369161,2850.0,6.333333333333333,0.2721655269759087,16.937328338623047,13.145999908447266,12.291999816894531,19.65099334716797,38.0,0.373992
Sp0011-3334,2310240437249834496,00h11m02.4929s -33d34m48.0925s,2.7603870854940165,-33.58002568743781,7.059817596110841,-97.94591460594827,2500.0,7.333333333333333,0.2721655269759087,17.46421241760254,13.343999862670898,12.321000099182129,20.6015682220459,35.2,0.308411
Sp0012-2413,2336841716630139264,00h12m37.9298s -24d13m12.5523s,3.158040948894304,-24.220153425918536,185.93354953733095,52.45394456568914,2850.0,6.333333333333333,0.2721655269759087,16.591571807861328,12.973999977111816,12.015999794006348,19.084617614746094,38.2,0.362352
Sp0014-3245,2316363175123938560,00h14m05.9054s -32d46m00.1655s,3.524605992846148,-32.76671263688217,78.16034922713824,-20.954351288445892,2650.0,6.666666666666667,0.2721655269759087,17.00792121887207,12.973999977111816,12.029999732971191,19.832441329956055,33.0,0.359361
Sp0015+3516,2876239130257160960,00h15m44.8435s +35d15m58.6544s,3.9368480812298245,35.266292879138454,55.17535705301644,-257.0988068124651,1960.0,12.666666666666666,0.2721655269759087,18.68182945251465,13.878000259399414,12.263999938964844,21.589853286743164,17.1,0.673892
Sp0015+3618,2876610975641008768,00h15m26.2222s +36d18m30.9634s,3.859259255989326,36.30860093958512,-137.77110594340976,-90.9165330937501,2850.0,6.0,0.0,16.91280174255371,13.270999908447266,12.35099983215332,19.332548141479492,38.8,0.394628
Sp0019+5213,419121948343397888,00h19m46.3597s +52d13m13.2576s,4.943165346287047,52.22034933907951,310.6770817868833,-279.1314421175519,2400.0,8.666666666666666,0.2721655269759087,17.347501754760742,12.791999816894531,11.621999740600586,20.59777069091797,20.0,0.664419
Sp0021-4244,4992141475707360640,00h21m06.2809s -42d44m43.5259s,5.276170246735309,-42.74542386888788,258.6357628337904,-1.8836293776511497,2100.0,10.0,0.4714045207910317,18.3546142578125,13.520999908447266,12.303999900817871,20.696823120117188,26.0,0.325575
Sp0022+1203,2755265775727402112,00h22m13.9476s +12d03m03.5342s,5.558115135680675,12.050981735578606,131.94981150080193,-79.66375744735815,2500.0,7.666666666666667,0.2721655269759087,17.682350158691406,13.454000473022461,12.432999610900879,21.15086555480957,35.5,0.319264
Sp0024-0158,2541756977144595712,00h24m24.5545s -01d58m17.7818s,6.102310594915648,-1.971606058077207,-77.16498412600313,141.10652547079522,2100.0,10.666666666666666,0.7200822998230955,16.595701217651367,11.991999626159668,10.538999557495117,19.85325813293457,12.5,0.707818
Sp0025+5422,419624356438705152,00h25m15.4296s +54d22m49.074s,6.31429011056441,54.380298326498824,-342.74484982398207,-376.19451553798433,2650.0,7.0,0.0,15.741398811340332,11.774999618530273,10.819000244140625,18.839204788208008,16.8,0.8035
Sp0026+1240,2755034195386026368,00h26m33.3304s +12d40m38.0039s,6.638876815661452,12.677223301995443,-3.4107896641234534,79.38934991097227,2850.0,6.333333333333333,0.2721655269759087,16.503171920776367,12.713000297546387,11.805000305175781,19.199277877807617,30.8,0.480497
Sp0026-5428,4923179694098110848,00h26m56.9532s -54d28m55.7855s,6.737305064516278,-54.482162642615855,349.512099694252,-192.60588449269233,2500.0,8.0,0.0,16.839771270751953,12.461999893188477,11.343999862670898,19.85541343688965,22.9,0.500986
Sp0029+1255,2755053363824509056,00h29m09.0784s +12d55m05.9243s,7.287826475853148,12.918312294783144,-89.06390589910444,-245.7524772187228,2850.0,6.333333333333333,0.2721655269759087,17.06109046936035,13.258999824523926,12.381999969482422,19.966890335083008,33.8,0.506595
Sp0029-5119,4926174282736016512,00h29m52.2589s -51d19m20.856s,7.467745288071861,-51.32245999156726,42.78116871861305,-104.68997236979895,2650.0,7.0,0.0,17.099258422851562,13.232000350952148,12.26200008392334,19.833309173583984,38.1,0.308221
Sp0031+0649,2747910730136768768,00h31m55.0589s +06d49m47.038s,7.979411998387228,6.829732778250087,279.0075837157305,42.08687441618307,2500.0,8.0,0.0,17.1174259185791,12.819999694824219,11.718000411987305,20.274011611938477,25.3,0.481987
Sp0031+6139,430215470915266560,00h31m28.6916s +61d39m35.536s,7.869548251423354,61.65987111710628,369.62806260566305,158.19213541196774,2650.0,7.0,0.0,16.92481803894043,13.086000442504883,12.109999656677246,19.702838897705078,35.9,0.325402
Sp0034+4050,381017479521263360,00h34m37.9292s +40d49m58.9658s,8.658038338959754,40.83304606865279,33.21332677154402,-203.97561236144998,2850.0,6.0,0.0,15.352374076843262,11.772000312805176,10.880000114440918,17.81039047241211,21.0,0.667562
Sp0035+7627,540024624884241792,00h35m09.9488s +76d27m54.8684s,8.791453450010945,76.46524121339141,501.7154606297587,32.71903840052945,2850.0,6.333333333333333,0.2721655269759087,15.448315620422363,11.654000282287598,10.696999549865723,18.080163955688477,19.8,0.735964
Sp0051-2251,2349207644734247808,00h51m22.2442s -22d51m34.3002s,12.842684181618353,-22.85952782133536,-338.336368678741,-152.36270420188987,2500.0,8.0,0.0,17.254901885986328,13.019000053405762,11.961000442504883,20.308429718017578,26.9,0.462633
Sp0052+6724,526331891194068736,00h52m25.8699s +67d24m08.2625s,13.107791104530898,67.40229512531054,-135.18456586007153,-6.660214490859393,2850.0,6.0,0.0,15.708486557006836,12.072999954223633,11.168000221252441,18.168262481689453,26.3,0.491578
Sp0052-6201,4902366110781708288,00h52m17.7186s -62d01m52.3332s,13.073827335767797,-62.031203673644086,1084.9063793745215,131.54488270317376,2850.0,6.333333333333333,0.2721655269759087,15.873547554016113,12.152999877929688,11.369999885559082,18.694231033325195,23.6,0.587723
Sp0053+4942,402884704215426560,00h53m42.139s +49d42m50.7568s,13.425579214626282,49.71409912354605,-178.34025065353126,-32.89793418075091,2650.0,7.0,0.0,16.923545837402344,13.006999969482422,12.048999786376953,19.673202514648438,33.1,0.366181
Sp0055-3052,5031016873971268352,00h55m04.6137s -30d52m05.6151s,13.769223541903473,-30.868226419954027,-64.077092616946,-298.6928855802841,2500.0,8.0,0.0,17.191864013671875,13.027999877929688,11.909000396728516,20.349863052368164,28.0,0.436942
Sp0056-0426,2525978057572684288,00h56m03.7819s -04d26m43.0508s,14.015757773314606,-4.445291895410143,-102.50650614985896,17.788828938834257,2850.0,6.333333333333333,0.2721655269759087,16.667478561401367,12.868000030517578,11.90999984741211,19.36190414428711,34.8,0.415587
Sp0056-7603,4684447304205300352,00h56m54.1831s -76d03m49.766s,14.22576270907853,-76.06382388262911,167.38164609979955,-393.32447565094327,2850.0,6.333333333333333,0.2721655269759087,16.228713989257812,12.574999809265137,11.621999740600586,18.73843765258789,33.0,0.403427
Sp0057+3034,312479456563055232,00h57m43.832s +30d34m56.3956s,14.432633167268552,30.58233212478319,-3.7883461778289993,-19.726709475826773,2850.0,6.0,0.0,16.73487663269043,13.041000366210938,12.112000465393066,19.230600357055664,39.6,0.341946
Sp0059+5726,424127406310491904,00h59m53.1433s +57d26m03.9514s,14.971430243327882,57.43443094808779,-92.67028459680161,5.669609047742451,2650.0,6.666666666666667,0.2721655269759087,16.709869384765625,12.793000221252441,11.857999801635742,19.53217124938965,31.5,0.362462
Sp0102+5254,405102625325363840,01h02m04.5881s +52d54m10.3848s,15.519117201326347,52.902884660692294,-108.42935683188387,-65.37826664145585,2500.0,7.666666666666667,0.2721655269759087,17.10443687438965,12.72700023651123,11.755000114440918,19.407241821289062,26.6,0.397444
Sp0102-3737,4989399774745144448,01h02m52.9691s -37d37m39.8792s,15.720704481268726,-37.62774422415421,1470.1303610331904,251.1877377664164,2500.0,8.0,0.0,15.3683443069458,11.130000114440918,10.069000244140625,18.75908660888672,11.4,1.080785
Sp0102-6322,4709450095539630080,01h02m13.5782s -63d22m45.0647s,15.556575847100145,-63.379184634493406,-26.872329470137053,-32.17636923800411,2650.0,7.0,0.0,16.672700881958008,12.807000160217285,11.78499984741211,19.457714080810547,30.2,0.412109
Sp0103+4509,377003295711606400,01h03m08.5403s +45d09m29.1079s,15.785584719271954,45.158085541429195,401.9359771476956,-8.203041913897891,2100.0,10.0,0.4714045207910317,18.436927795410156,13.687000274658203,12.4350004196167,21.373733520507812,23.5,0.432328
Sp0107+2435,2804241012928464640,01h07m04.0288s +24d35m22.2861s,16.766786655327596,24.589523920527654,-182.57891488338203,-316.8472388987822,2400.0,9.0,0.0,17.93851661682129,13.484000205993652,12.227999687194824,21.386098861694336,30.0,0.411825
Sp0109+2949,309977380415042432,01h09m23.0782s +29d49m32.1468s,17.346159148734955,29.825596330340133,1011.2753759754817,368.22521633426516,2250.0,9.666666666666666,0.2721655269759087,17.59546661376953,12.911999702453613,11.680999755859375,20.701461791992188,15.9,0.863353
Sp0109-0343,2531195858721613056,01h09m51.5875s -03d43m26.2559s,17.464947836990568,-3.7239599735198947,371.9579358055801,8.726078646109176,2250.0,9.333333333333334,0.2721655269759087,16.351484298706055,11.694000244140625,10.428000450134277,19.558713912963867,10.6,1.120779
Sp0109-4954,4928939932436444544,01h09m09.3374s -49d54m50.9708s,17.288906034239048,-49.91415856357909,88.64843802340746,139.33618132851228,2500.0,8.0,0.0,17.812366485595703,13.545999526977539,12.449999809265137,20.784351348876953,33.5,0.384444
Sp0109-5100,4928644747924606848,01h09m01.8819s -51d00m48.2003s,17.257841244222206,-51.0133889819459,219.1901619356087,77.70052098783286,2400.0,8.666666666666666,0.2721655269759087,16.67193031311035,12.227999687194824,11.092000007629395,19.889019012451172,15.9,0.798625
Sp0111-4908,4929042942932181888,01h11m47.0661s -49d08m15.8606s,17.946108671226195,-49.137739055071314,-290.0202502627354,-451.6945649091158,2850.0,6.0,0.0,15.3351411819458,11.538000106811523,10.607000350952148,17.974559783935547,18.6,0.777452
Sp0120+4311,373413875579871744,01h20m15.3425s +43d11m14.1492s,20.063927261508944,43.18726366498196,15.534083830153062,-110.0773983806481,2850.0,6.333333333333333,0.2721655269759087,16.48504638671875,12.609000205993652,11.687000274658203,19.31941795349121,30.1,0.484819
Sp0120-0741,2472387757755767168,01h20m49.1673s -07d41m05.5477s,20.20486364411456,-7.684874373149445,-2.8986674908565053,-119.93479761440686,2500.0,8.0,0.0,17.347774505615234,12.98799991607666,11.852999687194824,20.42397689819336,27.3,0.452931
Sp0121-4447,4935070839335879936,01h21m12.3597s -44d47m03.2255s,20.301498893170915,-44.78422929820982,116.4808205015443,24.371641723965304,2650.0,7.0,0.0,17.32048225402832,13.416999816894531,12.428000450134277,20.0665340423584,39.6,0.314313
Sp0123-4240,4983839338285335680,01h23m58.8724s -42d40m10.9044s,20.995301857861897,-42.66969567979371,-139.61723785104869,-240.95462538757727,2400.0,8.666666666666666,0.2721655269759087,17.56273078918457,13.152999877929688,12.036999702453613,20.73002052307129,25.8,0.46254
Sp0124+8334,572481658379312896,01h24m12.3026s +83d34m39.821s,21.051260788683518,83.57772806930457,-141.04588466054804,319.388085538259,2500.0,8.0,0.0,17.641983032226562,13.380999565124512,12.277999877929688,20.86232566833496,33.4,0.358596
Sp0125+2847,309062449301821056,01h25m00.4141s +28d47m57.9558s,21.251725410045996,28.799432166529847,398.56681329530454,-45.08408223677419,2500.0,8.0,0.0,17.739831924438477,13.378000259399414,12.25,20.783517837524414,32.2,0.389103
Sp0128+0211,2559347994957228288,01h28m21.2558s +02d11m15.421s,22.088565644629533,2.1876169440398248,580.4415394538621,-201.79927996651546,2850.0,6.333333333333333,0.2721655269759087,16.407024383544922,12.673999786376953,11.758000373840332,19.249353408813477,29.0,0.536418
Sp0130+5957,509442567963973376,01h30m54.6872s +59d57m50.5062s,22.727863191819726,59.96402950709623,30.235683310653393,-221.27522387638814,2850.0,6.666666666666667,0.2721655269759087,16.63408660888672,12.83899974822998,11.843999862670898,19.259153366088867,33.3,0.455128
Sp0130-0211,2485433257060541184,01h30m43.3674s -02d11m28.8739s,22.680697406890253,-2.1913538504434653,501.93657378135424,38.68649733826471,2500.0,7.666666666666667,0.2721655269759087,17.305526733398438,13.029000282287598,12.020999908447266,20.276302337646484,26.2,0.479433
Sp0132-0910,2465008007508485632,01h32m12.5792s -09d10m03.4791s,23.0524134378228,-9.167633085302088,86.93248471671734,-25.51998023555303,2650.0,7.0,0.0,17.19232940673828,13.310999870300293,12.305999755859375,20.008018493652344,37.6,0.333236
Sp0137-0036,2510102827654319488,01h37m19.2813s +00d36m10.6351s,24.330338667404746,0.6029541936617737,-93.12000895195621,-145.73612938889454,2850.0,6.0,0.0,16.656890869140625,13.008000373840332,12.071999549865723,19.169130325317383,37.8,0.372441
Sp0141+1804,94712996769289856,01h41m03.6979s +18d04m49.3202s,25.265407972120084,18.08036671453805,409.5457299734692,-55.16314220847494,2100.0,10.666666666666666,0.2721655269759087,18.724977493286133,13.875,12.491999626159668,21.28012466430664,23.6,0.47146
Sp0142+4845,405354340472800640,01h42m15.6695s +48d45m41.9992s,25.565289437970325,48.76166644952377,338.93471180144957,-57.64273782422577,2850.0,6.333333333333333,0.2721655269759087,16.08592414855957,12.383000373840332,11.428000450134277,18.613191604614258,27.9,0.515259
Sp0144+5121,406123143916057216,01h44m37.0271s +51d21m53.6366s,26.154279462944974,51.36489905959231,128.42430604831407,108.9818802084626,2650.0,6.666666666666667,0.2721655269759087,17.450849533081055,13.38700008392334,12.489999771118164,20.047489166259766,35.7,0.363095
Sp0144-0716,2467182154313027712,01h44m35.8047s -07d16m17.3665s,26.149186187146086,-7.271490699584718,384.02391889415225,-196.9319872967843,1410.0,13.0,0.0,19.63360023498535,14.190999984741211,12.267999649047852,23.074047088623047,12.7,0.337585
Sp0148-0014,2509333410032899456,01h48m47.7012s +00d14m26.1648s,27.198754896207276,0.24060133404702164,239.39933435115896,-193.9182164045998,2850.0,6.333333333333333,0.2721655269759087,16.142271041870117,12.456999778747559,11.482999801635742,18.632600784301758,30.7,0.445909
Sp0148-6209,4712623767133748352,01h48m52.354s -62d09m33.8847s,27.21814167431342,-62.15941242704068,133.86849095646033,25.574326993241606,2650.0,7.0,0.0,17.382080078125,13.4399995803833,12.442999839782715,20.079790115356445,39.4,0.321051
Sp0149-3122,5019038828658198528,01h49m56.1355s -31d22m38.9527s,27.483897812189674,-31.37748685420665,-139.3434474800194,-148.08396413976212,2650.0,7.0,0.0,16.61541175842285,12.789999961853027,11.788999557495117,19.220355987548828,31.4,0.376382
