Sp_ID 2MASS_ID Gaia_ID Filter_spc texp_spc texp_trap RA DEC V J SpT e_Spt T0 T0_err P P_err W W_err Note
Trappist-1b enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2457322.51505474 0.00011999999999999999 1.51088212 4e-07 0.02511108 8.329999999999999e-05 enter
Trappist-1c enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2457282.80879 0.00018 2.42180746 9.000000000000001e-07 0.029381900000000002 9.719999999999999e-05 enter
Trappist-1d enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2459156.28240 0.00035 4.0496099999999995 6.3e-05 0.0342569 0.0002986 enter
Trappist-1e enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2459191.36417 0.00041 6.101013 6.e-06 0.03903741 0.00022 enter
Trappist-1f enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2459227.32487 0.00022 9.205585 1.6e-05 0.043847199999999996 0.00025 enter
Trappist-1g enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2459036.56278 0.0002 12.354473 1.8e-05 0.0475903 0.0002569 enter
Trappist-1h enter enter I+z 23 50 346.6208333333333 -5.041111111111111 18.8 11.3 enter enter 2459182.69282 0.00054 18.767953 8e-05 0.05341669999999999 0.0006667000000000001 enter
EP249631677 enter 6255978483510095488 I+z 0 40 228.0216583 -20.1085277 15.665 12.665 3 0.1 2457994.0080597936 0.001 3.1441066893870615 0.00001 0.08333333333333 0.020833333333333332 Prajwal_Ben_EPIC1
EP228740289 enter 3581310689669470592 I+z 0 40 183.1191292 -9.3685555 15.54 12.54 3 0.1 2457585.27653672 0.001 6.761410307 0.00001 0.08333333333333 0.020833333333333332 Prajwal_Ben_EPIC2
TOI-2096.01 J10063563+7447256 1126421934347691136 I+z 0 0 151.618699 74.827211 15.92 11.877 4. 0.5 2458684.832891 0.002765 3.119035 0.000063 0.05298 0.02288391 Follow_up_TESS
TOI-2096.02 J10063563+7447256 1126421934347691136 I+z 0 0 151.618699 74.827211 15.92 11.877 4. 0.5 2458687.539955 0.002453 6.387611 0.000106 0.05192 0.01420154 Follow_up_TESS
TOI-2267.01 J04201254+8454062 571488279686816256 I+z 0 0 65.061496 +84.900824 15.56 10.353 4.5 0.5 2458816.154418 0.001029 3.494959 0.000034 0.03667 0.01721958 Follow_up_TESS
TOI-2267.02 J04201254+8454062 571488279686816256 I+z 0 0 65.061496 +84.900824 15.56 10.353 4.5 0.5 2458816.154418 0.001029 3.494959 0.000034 0.03667 0.01721958 Follow_up_TESS
